method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh,median_threshold
deep_knockoff_calibrated_lasso,0.1,0.05,voucher_ratio,代金券支付占比,-0.011135006323456764,0.2,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,debit_card_ratio,借记卡支付占比,-0.00916936993598938,0.4,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_review_score,平均评价得分,0.007193213794380426,0.7333333333333333,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.07056540995836258,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_approval_days,平均下单至审核天数,-0.009427787736058235,0.2,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_ship_days,平均审核至承运天数,0.18692581355571747,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.08080227673053741,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,item_count,成交件数,0.08289007097482681,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,order_count,成交订单数,0.0373212955892086,0.9333333333333333,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,category_count,活跃品类数,0.06719464808702469,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,unique_customer_count,独立顾客数,1.157352328300476,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,buyer_state_diversity,买家州数量,-0.01482522301375866,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,dominant_customer_state_share,第一大买家州占比,0.21672026813030243,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,interstate_ratio,跨州交易占比,-0.012762386351823807,0.06666666666666667,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_distance_km,平均卖家-买家距离,-0.008387962356209755,0.2,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,seller_state_frequency,卖家所在州频率,0.03183705732226372,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,marketing_origin_frequency,营销来源频率,-0.009384236298501492,0.06666666666666667,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,has_marketing_deal,是否匹配营销成交线索,0.003812924725934863,0.7333333333333333,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.2,0.1,avg_price,平均商品价格,0.3937896490097046,1.0,0.7333333333333333,22.733333587646484,True,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_freight,平均运费,0.12682880461215973,1.0,0.7333333333333333,22.733333587646484,True,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_weight_g,平均商品重量,-0.006986712105572224,0.4,0.0,0.0,False,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_length_cm,平均商品长度,0.00572256650775671,0.7,0.0,0.0,False,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_height_cm,平均商品高度,0.06403131783008575,1.0,0.6666666666666666,20.66666603088379,True,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_width_cm,平均商品宽度,-0.013856740668416023,0.3,0.0,0.0,False,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_photos_qty,平均商品图片数,-0.009912315756082535,0.13333333333333333,0.0,0.0,False,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_name_length,平均商品标题长度,0.07078535854816437,1.0,0.6333333333333333,19.633333206176758,True,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_product_description_length,平均商品描述长度,0.034914735704660416,0.9333333333333333,0.3,9.300000190734863,False,0.04981341026723385
deep_knockoff_calibrated_lasso,0.2,0.1,avg_payment_installments,平均支付分期期数,-0.0015539438463747501,0.5666666666666667,0.0,0.0,False,0.04981341026723385
