method,scene,rep,neural_winner,decoder_gain
vtfs_cardinality,linear_weak,13,True,0.00046587440398093705
vtfs_cardinality,linear_weak,14,True,0.03469043843161046
vtfs_cardinality,linear_weak,15,False,0.0
vtfs_cardinality,linear_weak,16,True,0.05797693276354288
vtfs_cardinality,linear_weak,17,True,0.007471680297433281
vtfs_cardinality,linear_weak,18,False,0.0
vtfs_cardinality,linear_weak,19,True,0.039439545731139614
vtfs_cardinality,linear_weak,20,True,0.04228832917956771
vtfs_cardinality,linear_weak,21,False,0.0
vtfs_cardinality,linear_weak,22,True,0.07237792345036098
vtfs_cardinality,linear_weak,23,True,0.010380640866696211
vtfs_cardinality,linear_weak,24,False,0.0
vtfs_cardinality,linear_weak,25,True,0.05677660786221361
vtfs_cardinality,linear_weak,26,True,0.016762731598082503
vtfs_cardinality,linear_weak,27,False,0.0
vtfs_cardinality,linear_weak,28,False,0.0
vtfs_cardinality,linear_weak,29,True,0.05204511556929825
vtfs_cardinality,linear_weak,30,False,0.0
vtfs_cardinality,linear_weak,31,True,0.07861111128016418
vtfs_cardinality,linear_weak,32,True,0.033367973338616075
vtfs_cardinality,linear_weak,33,True,0.05596013616058393
vtfs_cardinality,linear_weak,34,True,0.025221952717472185
vtfs_cardinality,linear_weak,35,False,0.0
vtfs_cardinality,linear_weak,36,True,0.018160304355041124
vtfs_cardinality,linear_weak,37,False,0.0
vtfs_cardinality,linear_weak,38,True,0.02503564709655981
vtfs_cardinality,linear_weak,39,False,0.0
vtfs_cardinality,linear_weak,40,True,0.045295312626605355
vtfs_cardinality,linear_weak,41,True,0.10626262446302981
vtfs_cardinality,linear_weak,42,True,0.007130750837521127
vtfs_cardinality,linear_weak,43,True,0.03486003345850097
vtfs_cardinality,linear_weak,44,True,0.05003490424956736
vtfs_cardinality,linear_weak,45,True,0.028422511252506055
vtfs_cardinality,linear_weak,46,True,0.03657053617041983
vtfs_cardinality,linear_weak,47,True,0.09579511000523189
vtfs_cardinality,linear_weak,48,False,0.0
vtfs_cardinality,linear_weak,49,True,0.006802760199902558
vtfs_cardinality,linear_weak,50,True,0.020919740305384238
vtfs_cardinality,linear_weak,51,True,0.09360162241644199
vtfs_cardinality,linear_weak,52,True,0.07760765855604879
vtfs_cardinality,linear_weak,53,False,0.0
vtfs_cardinality,linear_weak,54,False,0.0
vtfs_cardinality,linear_weak,55,False,0.0
vtfs_cardinality,linear_weak,56,True,0.012181420005126231
vtfs_cardinality,linear_weak,57,True,0.05094615115691381
vtfs_cardinality,linear_weak,58,False,0.0
vtfs_cardinality,linear_weak,59,True,0.023064174935810478
vtfs_cardinality,linear_weak,60,True,0.004361693229253394
vtfs_cardinality,linear_weak,61,False,0.0
vtfs_cardinality,linear_weak,62,True,0.005571841792309407
vtfs_cardinality,linear_weak,63,True,0.05046525611725938
vtfs_cardinality,linear_weak,64,False,0.0
vtfs_cardinality,linear_weak,65,True,0.023320385285882317
vtfs_cardinality,linear_weak,66,True,0.010129191907590318
vtfs_cardinality,linear_weak,67,True,0.07027340446581443
vtfs_cardinality,linear_weak,68,True,0.013733926229070104
vtfs_cardinality,linear_weak,69,True,0.06194835297438672
vtfs_cardinality,linear_weak,70,True,0.0010758179074303875
vtfs_cardinality,linear_weak,71,True,0.034829414322517405
vtfs_cardinality,linear_weak,72,True,0.06936394074754881
vtfs_cardinality,linear_weak,73,True,0.004020964835649288
vtfs_cardinality,linear_weak,74,True,0.036875164652506065
vtfs_cardinality,linear_weak,75,True,0.0380939791773689
vtfs_cardinality,linear_weak,76,True,0.0790042361867691
vtfs_cardinality,linear_weak,77,True,0.04283308592100532
vtfs_cardinality,linear_weak,78,False,0.0
vtfs_cardinality,linear_weak,79,False,0.0
vtfs_cardinality,linear_weak,80,False,0.0
vtfs_cardinality,linear_weak,81,True,0.02234190630974986
vtfs_cardinality,linear_weak,82,True,0.008261727456264634
vtfs_cardinality,linear_weak,83,False,0.0
vtfs_cardinality,linear_weak,84,False,0.0
vtfs_cardinality,linear_weak,85,False,0.0
vtfs_cardinality,linear_weak,86,True,0.022685422162793678
vtfs_cardinality,linear_weak,87,False,0.0
vtfs_cardinality,linear_weak,88,True,0.02754153609578669
vtfs_cardinality,linear_weak,89,True,0.005115585788165955
vtfs_cardinality,linear_weak,90,True,0.06850220327987078
vtfs_cardinality,linear_weak,91,True,0.0301003952769916
vtfs_cardinality,linear_weak,92,True,0.14377603763829638
vtfs_cardinality,linear_weak,93,True,0.07053228433940095
vtfs_cardinality,linear_weak,94,False,0.0
vtfs_cardinality,linear_weak,95,True,0.012081556391086767
vtfs_cardinality,linear_weak,96,True,0.04664767048440588
vtfs_cardinality,linear_weak,97,True,0.05929070651426871
vtfs_cardinality,linear_weak,98,True,0.06783899776573055
vtfs_cardinality,linear_weak,99,True,0.05282580154750782
vtfs_cardinality,linear_dense,0,False,0.0
vtfs_cardinality,linear_dense,1,False,0.0
vtfs_cardinality,linear_dense,2,False,0.0
vtfs_cardinality,linear_dense,3,True,0.025561457336414017
vtfs_cardinality,linear_dense,4,False,0.0
vtfs_cardinality,linear_dense,5,False,0.0
vtfs_cardinality,linear_dense,6,True,0.008212739839093208
vtfs_cardinality,linear_dense,7,True,0.015804620493391708
vtfs_cardinality,linear_dense,8,False,0.0
vtfs_cardinality,linear_dense,9,False,0.0
vtfs_cardinality,linear_dense,10,False,0.0
vtfs_cardinality,linear_dense,11,True,0.05186431939041203
vtfs_cardinality,linear_dense,12,True,0.02161428483494543
vtfs_cardinality,linear_dense,13,True,0.020868804927870688
vtfs_cardinality,linear_dense,14,False,0.0
vtfs_cardinality,linear_dense,15,True,0.008809437997741032
vtfs_cardinality,linear_dense,16,True,0.04996189491167469
vtfs_cardinality,linear_dense,17,True,0.05017886914731684
vtfs_cardinality,linear_dense,18,False,0.0
vtfs_cardinality,linear_dense,19,True,0.0047486538313030735
vtfs_cardinality,linear_dense,20,True,0.04336608973704781
vtfs_cardinality,linear_dense,21,True,0.008345516439642209
vtfs_cardinality,linear_dense,22,False,0.0
vtfs_cardinality,linear_dense,23,True,0.030169166777993084
vtfs_cardinality,linear_dense,24,True,0.010549681633588381
vtfs_cardinality,linear_dense,25,True,0.008734722720076027
vtfs_cardinality,linear_dense,26,True,0.02261324413805177
vtfs_cardinality,linear_dense,27,True,0.06908440460893006
vtfs_cardinality,linear_dense,28,True,0.011122533881705365
vtfs_cardinality,linear_dense,29,False,0.0
vtfs_cardinality,linear_dense,30,True,0.05263069786886021
vtfs_cardinality,linear_dense,31,True,0.020441560813828197
