method,scene,rep,FDP,power,rmse
copula_mvr,linear_medium,97,0.16666666666666666,1.0,1.0942596723682558
copula_mvr,linear_medium,98,0.16666666666666666,1.0,1.0517941086560434
copula_mvr,linear_medium,99,0.16666666666666666,1.0,1.0775042074625383
copula_mvr,linear_weak,0,0.16666666666666666,1.0,1.9408394839320482
copula_mvr,linear_weak,1,0.16666666666666666,1.0,1.9243636887234594
copula_mvr,linear_weak,2,0.16666666666666666,1.0,1.8785287014836582
copula_mvr,linear_weak,3,0.16666666666666666,1.0,1.8696396850816162
copula_mvr,linear_weak,4,0.25,0.9,1.918851790724801
copula_mvr,linear_weak,5,0.16666666666666666,1.0,1.7892711835794957
copula_mvr,linear_weak,6,0.16666666666666666,1.0,1.9515306460596908
copula_mvr,linear_weak,7,0.16666666666666666,1.0,1.936743576169879
copula_mvr,linear_weak,8,0.16666666666666666,1.0,1.9195209007338239
copula_mvr,linear_weak,9,0.25,0.9,1.7810822158246855
copula_mvr,linear_weak,10,0.16666666666666666,1.0,1.8685716209384762
copula_mvr,linear_weak,11,0.16666666666666666,1.0,1.7961511239432104
copula_mvr,linear_weak,12,0.16666666666666666,1.0,1.7707026178611147
copula_mvr,linear_weak,13,0.25,0.9,1.8944317455709083
copula_mvr,linear_weak,14,0.16666666666666666,1.0,1.8705038174174284
copula_mvr,linear_weak,15,0.16666666666666666,1.0,1.6985318836733179
copula_mvr,linear_weak,16,0.16666666666666666,1.0,1.922159721898036
copula_mvr,linear_weak,17,0.16666666666666666,1.0,1.9353657933456674
copula_mvr,linear_weak,18,0.25,0.9,1.9895532833250913
copula_mvr,linear_weak,19,0.16666666666666666,1.0,1.8994213800407063
copula_mvr,linear_weak,20,0.16666666666666666,1.0,1.8347641985430188
copula_mvr,linear_weak,21,0.16666666666666666,1.0,1.906289561881398
copula_mvr,linear_weak,22,0.16666666666666666,1.0,1.9030221269811924
copula_mvr,linear_weak,23,0.16666666666666666,1.0,1.8461405410520835
copula_mvr,linear_weak,24,0.25,0.9,1.8341059645425195
copula_mvr,linear_weak,25,0.16666666666666666,1.0,1.818279396360117
copula_mvr,linear_weak,26,0.16666666666666666,1.0,1.8066687612830303
copula_mvr,linear_weak,27,0.16666666666666666,1.0,1.8777163610916052
copula_mvr,linear_weak,28,0.16666666666666666,1.0,1.8214630370465872
copula_mvr,linear_weak,29,0.25,0.9,1.9042436089358745
copula_mvr,linear_weak,30,0.16666666666666666,1.0,1.8974163793041448
copula_mvr,linear_weak,31,0.25,0.9,1.8391898434724554
copula_mvr,linear_weak,32,0.16666666666666666,1.0,1.8863348884298394
copula_mvr,linear_weak,33,0.16666666666666666,1.0,1.7318289535400964
copula_mvr,linear_weak,34,0.16666666666666666,1.0,1.8178898570893673
copula_mvr,linear_weak,35,0.25,0.9,1.8334723278460594
copula_mvr,linear_weak,36,0.16666666666666666,1.0,1.9252894856032863
copula_mvr,linear_weak,37,0.25,0.9,2.025838872382041
copula_mvr,linear_weak,38,0.16666666666666666,1.0,1.9145436592016443
copula_mvr,linear_weak,39,0.16666666666666666,1.0,1.8785202678827018
copula_mvr,linear_weak,40,0.16666666666666666,1.0,1.9068994072340695
copula_mvr,linear_weak,41,0.16666666666666666,1.0,1.9057421533772094
copula_mvr,linear_weak,42,0.16666666666666666,1.0,1.981585952271835
