method,feature,label_zh,full_selected,half_sample_frequency
deep_lasso,interstate_ratio,跨州交易占比,False,0.3333333333333333
deep_lasso,avg_distance_km,平均买卖家距离,True,0.95
deep_lasso,seller_state_frequency,已观察卖家州频率,False,0.0
deep_lasso,marketing_origin_frequency,已成交营销来源频率,False,0.0
deep_lasso,has_marketing_deal,月末已匹配营销成交,False,0.0
tabm,avg_price,平均商品价格,True,1.0
tabm,avg_freight,平均运费,False,0.2
tabm,avg_product_weight_g,平均商品重量,True,0.9333333333333333
tabm,avg_product_length_cm,平均商品长度,False,0.1
tabm,avg_product_height_cm,平均商品高度,False,0.016666666666666666
tabm,avg_product_width_cm,平均商品宽度,False,0.0
tabm,avg_product_photos_qty,平均商品图片数,False,0.016666666666666666
tabm,avg_product_name_length,平均商品标题长度,False,0.03333333333333333
tabm,avg_product_description_length,平均商品描述长度,False,0.06666666666666667
tabm,avg_payment_installments,平均支付分期期数,False,0.23333333333333334
tabm,avg_payment_sequential,平均支付序列数,False,0.016666666666666666
tabm,credit_card_ratio,信用卡支付占比,False,0.0
tabm,boleto_ratio,Boleto支付占比,False,0.0
tabm,voucher_ratio,代金券支付占比,False,0.0
tabm,debit_card_ratio,借记卡支付占比,False,0.03333333333333333
tabm,avg_review_score,月末可见平均评价,True,0.9
tabm,avg_delivery_days,月末已送达平均天数,True,1.0
tabm,avg_approval_days,月末已审核平均天数,False,0.13333333333333333
tabm,avg_ship_days,月末已承运平均准备天数,True,0.45
tabm,avg_estimate_gap_days,月末已送达预计提前天数,True,0.95
tabm,item_count,购买件数,True,1.0
tabm,order_count,购买订单数,True,1.0
tabm,category_count,活跃品类数,True,0.23333333333333334
tabm,unique_customer_count,独立顾客数,True,1.0
tabm,buyer_state_diversity,买家州数量,True,0.8666666666666667
tabm,dominant_customer_state_share,第一大买家州占比,True,0.8833333333333333
tabm,interstate_ratio,跨州交易占比,False,0.18333333333333332
tabm,avg_distance_km,平均买卖家距离,False,0.7166666666666667
tabm,seller_state_frequency,已观察卖家州频率,False,0.03333333333333333
tabm,marketing_origin_frequency,已成交营销来源频率,False,0.0
tabm,has_marketing_deal,月末已匹配营销成交,False,0.0
vtfs,avg_price,平均商品价格,True,0.8833333333333333
vtfs,avg_freight,平均运费,True,0.23333333333333334
vtfs,avg_product_weight_g,平均商品重量,True,0.9833333333333333
vtfs,avg_product_length_cm,平均商品长度,True,0.25
vtfs,avg_product_height_cm,平均商品高度,True,0.6166666666666667
vtfs,avg_product_width_cm,平均商品宽度,True,0.6833333333333333
vtfs,avg_product_photos_qty,平均商品图片数,False,0.06666666666666667
vtfs,avg_product_name_length,平均商品标题长度,False,0.38333333333333336
vtfs,avg_product_description_length,平均商品描述长度,False,0.0
vtfs,avg_payment_installments,平均支付分期期数,False,0.5166666666666667
vtfs,avg_payment_sequential,平均支付序列数,True,0.48333333333333334
vtfs,credit_card_ratio,信用卡支付占比,False,0.3333333333333333
vtfs,boleto_ratio,Boleto支付占比,False,0.36666666666666664
vtfs,voucher_ratio,代金券支付占比,True,0.18333333333333332
vtfs,debit_card_ratio,借记卡支付占比,False,0.6666666666666666
vtfs,avg_review_score,月末可见平均评价,False,0.0
vtfs,avg_delivery_days,月末已送达平均天数,False,0.6333333333333333
vtfs,avg_approval_days,月末已审核平均天数,False,0.16666666666666666
vtfs,avg_ship_days,月末已承运平均准备天数,True,0.6333333333333333
vtfs,avg_estimate_gap_days,月末已送达预计提前天数,True,0.5666666666666667
vtfs,item_count,购买件数,False,0.6
vtfs,order_count,购买订单数,False,0.38333333333333336
vtfs,category_count,活跃品类数,False,0.38333333333333336
vtfs,unique_customer_count,独立顾客数,True,0.6
vtfs,buyer_state_diversity,买家州数量,False,0.0
vtfs,dominant_customer_state_share,第一大买家州占比,False,0.25
vtfs,interstate_ratio,跨州交易占比,True,0.2833333333333333
vtfs,avg_distance_km,平均买卖家距离,False,0.38333333333333336
vtfs,seller_state_frequency,已观察卖家州频率,False,0.016666666666666666
vtfs,marketing_origin_frequency,已成交营销来源频率,False,0.0
vtfs,has_marketing_deal,月末已匹配营销成交,False,0.45
dl_jacobian,avg_price,平均商品价格,True,1.0
dl_jacobian,avg_freight,平均运费,False,0.0
dl_jacobian,avg_product_weight_g,平均商品重量,True,0.8
dl_jacobian,avg_product_length_cm,平均商品长度,False,0.03333333333333333
dl_jacobian,avg_product_height_cm,平均商品高度,False,0.05
dl_jacobian,avg_product_width_cm,平均商品宽度,False,0.08333333333333333
dl_jacobian,avg_product_photos_qty,平均商品图片数,False,0.0
dl_jacobian,avg_product_name_length,平均商品标题长度,False,0.06666666666666667
dl_jacobian,avg_product_description_length,平均商品描述长度,False,0.0
dl_jacobian,avg_payment_installments,平均支付分期期数,False,0.18333333333333332
dl_jacobian,avg_payment_sequential,平均支付序列数,False,0.0
dl_jacobian,credit_card_ratio,信用卡支付占比,False,0.0
dl_jacobian,boleto_ratio,Boleto支付占比,False,0.06666666666666667
dl_jacobian,voucher_ratio,代金券支付占比,False,0.0
dl_jacobian,debit_card_ratio,借记卡支付占比,False,0.0
dl_jacobian,avg_review_score,月末可见平均评价,True,0.9
dl_jacobian,avg_delivery_days,月末已送达平均天数,True,1.0
dl_jacobian,avg_approval_days,月末已审核平均天数,False,0.03333333333333333
dl_jacobian,avg_ship_days,月末已承运平均准备天数,True,0.6833333333333333
dl_jacobian,avg_estimate_gap_days,月末已送达预计提前天数,True,0.9833333333333333
dl_jacobian,item_count,购买件数,True,1.0
dl_jacobian,order_count,购买订单数,True,1.0
dl_jacobian,category_count,活跃品类数,False,0.16666666666666666
dl_jacobian,unique_customer_count,独立顾客数,True,1.0
dl_jacobian,buyer_state_diversity,买家州数量,True,1.0
dl_jacobian,dominant_customer_state_share,第一大买家州占比,False,0.2
dl_jacobian,interstate_ratio,跨州交易占比,True,0.75
dl_jacobian,avg_distance_km,平均买卖家距离,True,0.95
dl_jacobian,seller_state_frequency,已观察卖家州频率,False,0.05
dl_jacobian,marketing_origin_frequency,已成交营销来源频率,False,0.0
dl_jacobian,has_marketing_deal,月末已匹配营销成交,False,0.0
dl_jacobian_lossrank,avg_price,平均商品价格,True,1.0
dl_jacobian_lossrank,avg_freight,平均运费,False,0.016666666666666666
dl_jacobian_lossrank,avg_product_weight_g,平均商品重量,True,0.7666666666666667
dl_jacobian_lossrank,avg_product_length_cm,平均商品长度,False,0.08333333333333333
dl_jacobian_lossrank,avg_product_height_cm,平均商品高度,False,0.06666666666666667
dl_jacobian_lossrank,avg_product_width_cm,平均商品宽度,False,0.06666666666666667
dl_jacobian_lossrank,avg_product_photos_qty,平均商品图片数,False,0.0
dl_jacobian_lossrank,avg_product_name_length,平均商品标题长度,False,0.1
dl_jacobian_lossrank,avg_product_description_length,平均商品描述长度,False,0.0
dl_jacobian_lossrank,avg_payment_installments,平均支付分期期数,False,0.08333333333333333
dl_jacobian_lossrank,avg_payment_sequential,平均支付序列数,False,0.0
dl_jacobian_lossrank,credit_card_ratio,信用卡支付占比,False,0.0
dl_jacobian_lossrank,boleto_ratio,Boleto支付占比,False,0.1
dl_jacobian_lossrank,voucher_ratio,代金券支付占比,False,0.0
dl_jacobian_lossrank,debit_card_ratio,借记卡支付占比,False,0.0
dl_jacobian_lossrank,avg_review_score,月末可见平均评价,True,0.9
dl_jacobian_lossrank,avg_delivery_days,月末已送达平均天数,True,1.0
dl_jacobian_lossrank,avg_approval_days,月末已审核平均天数,False,0.0
dl_jacobian_lossrank,avg_ship_days,月末已承运平均准备天数,True,0.6
dl_jacobian_lossrank,avg_estimate_gap_days,月末已送达预计提前天数,True,0.9666666666666667
dl_jacobian_lossrank,item_count,购买件数,True,1.0
dl_jacobian_lossrank,order_count,购买订单数,True,1.0
dl_jacobian_lossrank,category_count,活跃品类数,False,0.35
dl_jacobian_lossrank,unique_customer_count,独立顾客数,True,1.0
dl_jacobian_lossrank,buyer_state_diversity,买家州数量,True,0.9833333333333333
dl_jacobian_lossrank,dominant_customer_state_share,第一大买家州占比,True,0.25
dl_jacobian_lossrank,interstate_ratio,跨州交易占比,False,0.6833333333333333
dl_jacobian_lossrank,avg_distance_km,平均买卖家距离,True,0.95
dl_jacobian_lossrank,seller_state_frequency,已观察卖家州频率,False,0.03333333333333333
dl_jacobian_lossrank,marketing_origin_frequency,已成交营销来源频率,False,0.0
dl_jacobian_lossrank,has_marketing_deal,月末已匹配营销成交,False,0.0
dl_score_only,avg_price,平均商品价格,True,1.0
dl_score_only,avg_freight,平均运费,False,0.03333333333333333
dl_score_only,avg_product_weight_g,平均商品重量,True,0.48333333333333334
dl_score_only,avg_product_length_cm,平均商品长度,False,0.0
dl_score_only,avg_product_height_cm,平均商品高度,False,0.016666666666666666
dl_score_only,avg_product_width_cm,平均商品宽度,False,0.0
dl_score_only,avg_product_photos_qty,平均商品图片数,False,0.0
dl_score_only,avg_product_name_length,平均商品标题长度,False,0.21666666666666667
dl_score_only,avg_product_description_length,平均商品描述长度,False,0.06666666666666667
dl_score_only,avg_payment_installments,平均支付分期期数,False,0.6666666666666666
dl_score_only,avg_payment_sequential,平均支付序列数,False,0.0
dl_score_only,credit_card_ratio,信用卡支付占比,False,0.0
dl_score_only,boleto_ratio,Boleto支付占比,False,0.0
dl_score_only,voucher_ratio,代金券支付占比,False,0.0
dl_score_only,debit_card_ratio,借记卡支付占比,False,0.0
dl_score_only,avg_review_score,月末可见平均评价,True,0.9666666666666667
dl_score_only,avg_delivery_days,月末已送达平均天数,True,0.9833333333333333
dl_score_only,avg_approval_days,月末已审核平均天数,False,0.05
dl_score_only,avg_ship_days,月末已承运平均准备天数,True,0.48333333333333334
dl_score_only,avg_estimate_gap_days,月末已送达预计提前天数,True,0.9666666666666667
dl_score_only,item_count,购买件数,True,1.0
dl_score_only,order_count,购买订单数,True,1.0
dl_score_only,category_count,活跃品类数,False,0.1
dl_score_only,unique_customer_count,独立顾客数,True,1.0
dl_score_only,buyer_state_diversity,买家州数量,True,1.0
dl_score_only,dominant_customer_state_share,第一大买家州占比,True,1.0
dl_score_only,interstate_ratio,跨州交易占比,False,0.11666666666666667
dl_score_only,avg_distance_km,平均买卖家距离,True,0.85
dl_score_only,seller_state_frequency,已观察卖家州频率,False,0.0
dl_score_only,marketing_origin_frequency,已成交营销来源频率,False,0.0
dl_score_only,has_marketing_deal,月末已匹配营销成交,False,0.0
tabm_budget_gate,avg_price,平均商品价格,True,1.0
tabm_budget_gate,avg_freight,平均运费,False,0.05
tabm_budget_gate,avg_product_weight_g,平均商品重量,True,0.7166666666666667
tabm_budget_gate,avg_product_length_cm,平均商品长度,False,0.06666666666666667
tabm_budget_gate,avg_product_height_cm,平均商品高度,False,0.0
tabm_budget_gate,avg_product_width_cm,平均商品宽度,False,0.0
tabm_budget_gate,avg_product_photos_qty,平均商品图片数,False,0.0
tabm_budget_gate,avg_product_name_length,平均商品标题长度,False,0.18333333333333332
tabm_budget_gate,avg_product_description_length,平均商品描述长度,False,0.23333333333333334
tabm_budget_gate,avg_payment_installments,平均支付分期期数,False,0.2
tabm_budget_gate,avg_payment_sequential,平均支付序列数,False,0.0
tabm_budget_gate,credit_card_ratio,信用卡支付占比,False,0.0
tabm_budget_gate,boleto_ratio,Boleto支付占比,False,0.0
tabm_budget_gate,voucher_ratio,代金券支付占比,False,0.0
tabm_budget_gate,debit_card_ratio,借记卡支付占比,False,0.0
tabm_budget_gate,avg_review_score,月末可见平均评价,True,0.8833333333333333
tabm_budget_gate,avg_delivery_days,月末已送达平均天数,True,1.0
tabm_budget_gate,avg_approval_days,月末已审核平均天数,False,0.06666666666666667
tabm_budget_gate,avg_ship_days,月末已承运平均准备天数,True,0.65
tabm_budget_gate,avg_estimate_gap_days,月末已送达预计提前天数,True,1.0
tabm_budget_gate,item_count,购买件数,True,0.8833333333333333
tabm_budget_gate,order_count,购买订单数,True,1.0
tabm_budget_gate,category_count,活跃品类数,False,0.05
tabm_budget_gate,unique_customer_count,独立顾客数,True,1.0
tabm_budget_gate,buyer_state_diversity,买家州数量,True,0.8666666666666667
tabm_budget_gate,dominant_customer_state_share,第一大买家州占比,True,0.8
tabm_budget_gate,interstate_ratio,跨州交易占比,False,0.36666666666666664
tabm_budget_gate,avg_distance_km,平均买卖家距离,True,0.8833333333333333
tabm_budget_gate,seller_state_frequency,已观察卖家州频率,False,0.1
tabm_budget_gate,marketing_origin_frequency,已成交营销来源频率,False,0.0
tabm_budget_gate,has_marketing_deal,月末已匹配营销成交,False,0.0
ep_regression,avg_price,平均商品价格,True,1.0
ep_regression,avg_freight,平均运费,False,0.23333333333333334
ep_regression,avg_product_weight_g,平均商品重量,True,0.65
ep_regression,avg_product_length_cm,平均商品长度,False,0.1
ep_regression,avg_product_height_cm,平均商品高度,False,0.1
ep_regression,avg_product_width_cm,平均商品宽度,False,0.11666666666666667
ep_regression,avg_product_photos_qty,平均商品图片数,False,0.05
ep_regression,avg_product_name_length,平均商品标题长度,True,0.7
ep_regression,avg_product_description_length,平均商品描述长度,False,0.18333333333333332
ep_regression,avg_payment_installments,平均支付分期期数,False,0.26666666666666666
ep_regression,avg_payment_sequential,平均支付序列数,False,0.08333333333333333
ep_regression,credit_card_ratio,信用卡支付占比,False,0.08333333333333333
ep_regression,boleto_ratio,Boleto支付占比,False,0.06666666666666667
ep_regression,voucher_ratio,代金券支付占比,False,0.03333333333333333
ep_regression,debit_card_ratio,借记卡支付占比,False,0.0
ep_regression,avg_review_score,月末可见平均评价,True,0.8666666666666667
ep_regression,avg_delivery_days,月末已送达平均天数,True,1.0
ep_regression,avg_approval_days,月末已审核平均天数,False,0.21666666666666667
ep_regression,avg_ship_days,月末已承运平均准备天数,False,0.25
ep_regression,avg_estimate_gap_days,月末已送达预计提前天数,False,0.6333333333333333
ep_regression,item_count,购买件数,True,0.8833333333333333
ep_regression,order_count,购买订单数,True,0.85
ep_regression,category_count,活跃品类数,False,0.0
ep_regression,unique_customer_count,独立顾客数,False,0.38333333333333336
ep_regression,buyer_state_diversity,买家州数量,True,0.5666666666666667
ep_regression,dominant_customer_state_share,第一大买家州占比,True,0.6166666666666667
ep_regression,interstate_ratio,跨州交易占比,True,0.6666666666666666
ep_regression,avg_distance_km,平均买卖家距离,True,0.9666666666666667
ep_regression,seller_state_frequency,已观察卖家州频率,True,0.43333333333333335
ep_regression,marketing_origin_frequency,已成交营销来源频率,False,0.0
ep_regression,has_marketing_deal,月末已匹配营销成交,False,0.0
ep_refresh,avg_price,平均商品价格,True,0.9666666666666667
ep_refresh,avg_freight,平均运费,True,0.6
ep_refresh,avg_product_weight_g,平均商品重量,True,0.43333333333333335
ep_refresh,avg_product_length_cm,平均商品长度,False,0.26666666666666666
ep_refresh,avg_product_height_cm,平均商品高度,False,0.3333333333333333
ep_refresh,avg_product_width_cm,平均商品宽度,True,0.21666666666666667
ep_refresh,avg_product_photos_qty,平均商品图片数,False,0.25
ep_refresh,avg_product_name_length,平均商品标题长度,False,0.3333333333333333
ep_refresh,avg_product_description_length,平均商品描述长度,True,0.21666666666666667
ep_refresh,avg_payment_installments,平均支付分期期数,True,0.7
ep_refresh,avg_payment_sequential,平均支付序列数,False,0.16666666666666666
ep_refresh,credit_card_ratio,信用卡支付占比,True,0.35
ep_refresh,boleto_ratio,Boleto支付占比,False,0.4166666666666667
ep_refresh,voucher_ratio,代金券支付占比,False,0.16666666666666666
ep_refresh,debit_card_ratio,借记卡支付占比,False,0.0
ep_refresh,avg_review_score,月末可见平均评价,False,0.23333333333333334
ep_refresh,avg_delivery_days,月末已送达平均天数,False,0.2833333333333333
ep_refresh,avg_approval_days,月末已审核平均天数,False,0.4166666666666667
ep_refresh,avg_ship_days,月末已承运平均准备天数,False,0.25
ep_refresh,avg_estimate_gap_days,月末已送达预计提前天数,False,0.31666666666666665
ep_refresh,item_count,购买件数,True,0.8333333333333334
ep_refresh,order_count,购买订单数,True,0.75
ep_refresh,category_count,活跃品类数,False,0.23333333333333334
