target,generator,stat_model,q,alpha_kn,feature,label_zh,mean_w,median_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
log_gmv_next_month,copula,lasso,0.3,0.15,avg_approval_days,平均下单至审核天数,-0.0029245692580425436,0.0,0.0,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.3,0.15,avg_ship_days,平均审核至承运天数,0.0531214196105862,0.0541523839277553,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,avg_estimate_gap_days,平均预计提前送达天数,0.02106289760949115,0.021806065345498803,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,item_count,成交件数,0.11677187872922822,0.11999697082895243,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,order_count,成交订单数,0.14430545714271312,0.1481888693572589,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,category_count,活跃品类数,0.02316636724987183,0.024648953607595104,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,unique_customer_count,独立顾客数,0.14012807887828446,0.14241288629739543,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,buyer_state_diversity,买家州数量,0.09715734261332577,0.10010824705626525,1.0,1.0,18.68611111111111,True
log_gmv_next_month,copula,lasso,0.3,0.15,dominant_customer_state_share,第一大买家州占比,0.0070190685750176314,0.008610502339759357,0.8833333333333333,0.6166666666666667,8.955555555555554,True
log_gmv_next_month,copula,lasso,0.3,0.15,interstate_ratio,跨州交易占比,-0.001488925657059849,0.0,0.0,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.3,0.15,avg_distance_km,平均卖家-买家距离,-0.0016182782119617074,0.0,0.0,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.3,0.15,seller_state_frequency,卖家所在州频率,0.013568721176975631,0.014640125278722669,1.0,0.8666666666666667,14.552777777777777,True
log_gmv_next_month,copula,lasso,0.3,0.15,marketing_origin_frequency,营销来源频率,-0.0018298902654848793,0.0,0.016666666666666666,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.3,0.15,has_marketing_deal,是否匹配营销成交线索,0.0001810292271246465,0.0012703823810535438,0.6166666666666667,0.11666666666666667,1.2916666666666667,False
log_gmv_next_month,gaussian,lasso,0.1,0.05,avg_price,平均商品价格,0.1330400443947346,0.13519481206896072,1.0,0.0,0.0,False
