q,feature,label_zh,monthly_selected,weekly_selected,selected_both,monthly_frequency,weekly_frequency
0.1,dominant_customer_state_share,第一大买家州占比,False,False,False,0.0166666666666666,0.0
0.1,interstate_ratio,跨州交易占比,False,False,False,0.0,0.0
0.1,avg_distance_km,平均卖家-买家距离,False,False,False,0.0,0.0
0.1,seller_state_frequency,卖家所在州频率,False,False,False,0.0166666666666666,0.0
0.1,marketing_origin_frequency,营销来源频率,False,False,False,0.0,0.0
0.1,has_marketing_deal,是否匹配营销成交线索,False,False,False,0.0166666666666666,0.0
0.2,avg_price,平均商品价格,True,True,True,0.95,1.0
0.2,avg_freight,平均运费,True,True,True,0.95,1.0
0.2,avg_product_weight_g,平均商品重量,False,True,False,0.0,0.36666666666666664
0.2,avg_product_length_cm,平均商品长度,False,False,False,0.0,0.0
0.2,avg_product_height_cm,平均商品高度,True,True,True,0.8,0.4166666666666667
0.2,avg_product_width_cm,平均商品宽度,False,True,False,0.0,0.9833333333333333
0.2,avg_product_photos_qty,平均商品图片数,False,True,False,0.0,0.5833333333333334
0.2,avg_product_name_length,平均商品标题长度,True,True,True,0.9166666666666666,1.0
0.2,avg_product_description_length,平均商品描述长度,True,False,False,0.5,0.0
0.2,avg_payment_installments,平均支付分期期数,False,False,False,0.0,0.05
0.2,avg_payment_sequential,平均支付序列数,False,False,False,0.2666666666666666,0.0
0.2,credit_card_ratio,信用卡支付占比,False,False,False,0.1333333333333333,0.016666666666666666
0.2,boleto_ratio,Boleto支付占比,False,True,False,0.0,0.85
0.2,voucher_ratio,代金券支付占比,False,False,False,0.0333333333333333,0.0
0.2,debit_card_ratio,借记卡支付占比,False,False,False,0.2166666666666666,0.0
0.2,avg_review_score,平均评价得分,False,False,False,0.0666666666666666,0.0
0.2,avg_delivery_days,平均下单至送达天数,True,False,False,0.4166666666666667,0.0
0.2,avg_approval_days,平均下单至审核天数,False,False,False,0.0,0.0
0.2,avg_ship_days,平均审核至承运天数,True,True,True,0.95,1.0
0.2,avg_estimate_gap_days,平均预计提前送达天数,True,False,False,0.95,0.0
0.2,item_count,成交件数,True,True,True,0.95,1.0
0.2,order_count,成交订单数,True,True,True,0.95,1.0
0.2,category_count,活跃品类数,True,True,True,0.95,1.0
0.2,unique_customer_count,独立顾客数,True,True,True,0.95,1.0
0.2,buyer_state_diversity,买家州数量,True,True,True,0.95,1.0
0.2,dominant_customer_state_share,第一大买家州占比,False,True,False,0.3333333333333333,1.0
0.2,interstate_ratio,跨州交易占比,False,False,False,0.0,0.0
0.2,avg_distance_km,平均卖家-买家距离,False,False,False,0.0,0.0
0.2,seller_state_frequency,卖家所在州频率,True,True,True,0.7666666666666667,0.9166666666666666
0.2,marketing_origin_frequency,营销来源频率,False,True,False,0.0,0.85
0.2,has_marketing_deal,是否匹配营销成交线索,False,True,False,0.05,0.95
0.3,avg_price,平均商品价格,True,True,True,1.0,1.0
0.3,avg_freight,平均运费,True,True,True,0.9833333333333332,1.0
0.3,avg_product_weight_g,平均商品重量,False,True,False,0.0,0.6166666666666667
0.3,avg_product_length_cm,平均商品长度,False,False,False,0.0,0.0
0.3,avg_product_height_cm,平均商品高度,True,True,True,0.8833333333333333,0.6833333333333333
0.3,avg_product_width_cm,平均商品宽度,False,True,False,0.0,1.0
0.3,avg_product_photos_qty,平均商品图片数,False,True,False,0.0,0.8833333333333333
0.3,avg_product_name_length,平均商品标题长度,True,True,True,0.9833333333333332,1.0
0.3,avg_product_description_length,平均商品描述长度,True,False,False,0.7,0.0
0.3,avg_payment_installments,平均支付分期期数,False,False,False,0.0,0.13333333333333333
0.3,avg_payment_sequential,平均支付序列数,True,False,False,0.5,0.0
0.3,credit_card_ratio,信用卡支付占比,False,False,False,0.3,0.06666666666666667
0.3,boleto_ratio,Boleto支付占比,False,True,False,0.1166666666666666,0.95
0.3,voucher_ratio,代金券支付占比,False,False,False,0.1166666666666666,0.0
0.3,debit_card_ratio,借记卡支付占比,True,False,False,0.45,0.0
0.3,avg_review_score,平均评价得分,False,False,False,0.1166666666666666,0.0
0.3,avg_delivery_days,平均下单至送达天数,True,False,False,0.6833333333333333,0.0
0.3,avg_approval_days,平均下单至审核天数,False,False,False,0.0,0.0
0.3,avg_ship_days,平均审核至承运天数,True,True,True,1.0,1.0
0.3,avg_estimate_gap_days,平均预计提前送达天数,True,False,False,1.0,0.0
0.3,item_count,成交件数,True,True,True,1.0,1.0
0.3,order_count,成交订单数,True,True,True,1.0,1.0
0.3,category_count,活跃品类数,True,True,True,1.0,1.0
0.3,unique_customer_count,独立顾客数,True,True,True,1.0,1.0
0.3,buyer_state_diversity,买家州数量,True,True,True,1.0,1.0
0.3,dominant_customer_state_share,第一大买家州占比,True,True,True,0.6166666666666667,1.0
0.3,interstate_ratio,跨州交易占比,False,False,False,0.0,0.0
0.3,avg_distance_km,平均卖家-买家距离,False,False,False,0.0,0.0
0.3,seller_state_frequency,卖家所在州频率,True,True,True,0.8666666666666667,0.9666666666666667
0.3,marketing_origin_frequency,营销来源频率,False,True,False,0.0,0.95
0.3,has_marketing_deal,是否匹配营销成交线索,False,True,False,0.1166666666666666,0.9833333333333333
