method,fraction,mean,sd,se,ci_low,ci_high,n,nogueira
shadow_trees,0.5,0.9388278388278388,0.04158870806238356,0.007593024514421481,0.9232983600175038,0.9543573176381739,30,0.9210328080087223
shadow_trees,0.7,0.9615384615384615,0.06834794743374144,0.015283065658442814,0.9295506374902398,0.9935262855866831,20,0.9377423822714681
shadow_trees,0.8,0.9923076923076923,0.034401045807689073,0.007692307692307692,0.9762075072737826,1.008407877341602,20,0.9864035087719298
stability_selection,0.5,0.5827440206851972,0.057117972909314266,0.0104282674004668,0.5614158190816763,0.604072222288718,30,0.47880116959064334
stability_selection,0.7,0.6619230769230768,0.10918703659441674,0.024414963608687296,0.6108219708025919,0.7130241830435617,20,0.5885272391505079
stability_selection,0.8,0.7017582417582415,0.10379658282988095,0.023209621503980128,0.6531799456566998,0.7503365378597833,20,0.6772622345337028
tabm,0.5,0.750489118724413,0.08259818060796054,0.015080295575955254,0.7196464512003466,0.7813317862484794,30,0.7303746654772525
tabm,0.7,0.8780219780219781,0.07794088275683199,0.017428111207061753,0.8415445220426957,0.9144994340012605,20,0.8540166204986149
tabm,0.8,0.8934065934065935,0.08535166730296725,0.01908521300823809,0.8534607834968456,0.9333524033163413,20,0.8683287165281626
tabm_budget_gate,0.5,0.8071062271062271,0.04801870742323332,0.008766976412648552,0.7891757470752001,0.8250367071372542,30,0.7171622559222917
tabm_budget_gate,0.7,0.8657142857142859,0.09964988698043145,0.022282392123841598,0.8190767030093282,0.9123518684192435,20,0.7996306555863342
tabm_budget_gate,0.8,0.8956043956043956,0.10669144573494418,0.02385693252810652,0.8456712619586737,0.9455375292501176,20,0.8432825484764543
vtfs,0.5,0.40676691729323317,0.18495970088653518,0.03376886680165453,0.33770182992925835,0.475832004657208,30,0.2733174744771534
vtfs,0.7,0.4814035087719299,0.32427223773423497,0.07250947667897217,0.32963942991028616,0.6331675876335736,20,0.34522160664819934
vtfs,0.8,0.2971929824561404,0.10579796428367509,0.023657144001939235,0.24767801100148143,0.3467079539107994,20,0.6350415512465374
vtfs_cardinality,0.5,0.4540149393090569,0.10157343057233487,0.01854468638921756,0.41608679700177426,0.49194308161633954,30,0.3046585390028743
vtfs_cardinality,0.7,0.44007343018178935,0.15573221044759122,0.03482278088471169,0.3671885121486995,0.5129583482148792,20,0.3251846722068329
vtfs_cardinality,0.8,0.47819327731092437,0.14850408577092897,0.033206523072025644,0.4086912257579117,0.547695328863937,20,0.41391966759002774
vtfs_pairrank,0.5,0.4332578240472977,0.10871677591039872,0.019848876848453205,0.39266231275379965,0.4738533353407957,30,0.3167187035385072
vtfs_pairrank,0.7,0.5605036346522414,0.25036684714843177,0.05598372895361928,0.4433283432968439,0.6776789260076389,20,0.38171745152354564
vtfs_pairrank,0.8,0.5449163066036131,0.23115570261400656,0.05168798644316445,0.4367321076541417,0.6531005055530845,20,0.38744228993536467
xgboost_shap,0.5,0.7681501831501834,0.04832030817418377,0.008822040924200573,0.7501070835479006,0.7861932827524661,30,0.7438943403707008
xgboost_shap,0.7,0.847032967032967,0.12344487673225925,0.02760311358474138,0.7892589863235399,0.9048069477423942,20,0.8168051708217913
xgboost_shap,0.8,0.8219780219780219,0.0858343244522314,0.01919313842779618,0.7818063215690569,0.862149722386987,20,0.8454293628808864
