method,scene,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n
ep_refresh,linear_sparse,0.6166666666666667,0.045873490213598336,0.004587349021359833,0.6075643709759978,0.6257689623573356,100,0.92,0.11009637651263603,0.011009637651263603,0.8981544903423946,0.9418455096576055,100,0.6576768556960312,0.044705098781808006,0.004470509878180801,0.6488063942138578,0.6665473171782046,100
ep_refresh,linear_weak,0.5516666666666667,0.1064554938277283,0.01064554938277283,0.5305435871232461,0.5727897462100874,100,0.5379999999999999,0.12774659259327398,0.012774659259327397,0.5126523045478951,0.5633476954521047,100,1.9404504479582931,0.07338712438761415,0.007338712438761415,1.925888850335055,1.9550120455815312,100
ep_refresh,nonlinear,0.5391666666666667,0.09509210491680377,0.009509210491680378,0.5202983300136103,0.5580350033197231,100,0.5529999999999999,0.11411052590016453,0.011411052590016454,0.5303579960163323,0.5756420039836676,100,1.224275308073205,0.10844452777009814,0.010844452777009813,1.2027575610432266,1.2457930551031833,100
ep_refresh,nonlinear_panel,0.5416666666666667,0.09803055022111955,0.009803055022111954,0.5222152787152199,0.5611180546181136,100,0.55,0.11763666026534345,0.011763666026534345,0.5266583344582638,0.5733416655417363,100,1.1989427959119099,0.1006179583078684,0.01006179583078684,1.1789780100618432,1.2189075817619766,100
ep_regression,linear_dense,0.008333333333333333,0.0251259453814803,0.00251259453814803,0.0033478006584718827,0.013318866008194784,100,0.7933333333333331,0.02010075630518427,0.002010075630518427,0.789344907193444,0.7973217594732223,100,1.092694452904821,0.046675234159936636,0.004667523415993664,1.0834330738212428,1.1019558319883993,100
ep_regression,linear_medium,0.16750000000000007,0.008333333333333335,0.0008333333333333335,0.16584648587374282,0.16915351412625731,100,0.9990000000000001,0.009999999999999995,0.0009999999999999996,0.9970157830484915,1.0009842169515089,100,1.071536689297628,0.03972583391949589,0.003972583391949589,1.0636542219900398,1.079419156605216,100
ep_regression,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6362907893472332,0.03267784365537402,0.0032677843655374017,0.6298067962152588,0.6427747824792075,100
ep_regression,linear_weak,0.19500000000000003,0.05055805299636636,0.005055805299636636,0.18496818542093357,0.2050318145790665,100,0.9660000000000001,0.06066966359563962,0.006066966359563962,0.9539618225051203,0.9780381774948799,100,1.8829886049638278,0.06710377381063905,0.006710377381063904,1.8696737604133005,1.8963034495143551,100
ep_regression,nonlinear,0.3858333333333334,0.09300371690435116,0.009300371690435117,0.3673793781698406,0.4042872884968262,100,0.7369999999999999,0.11160446028522142,0.011160446028522142,0.7148552538038084,0.7591447461961913,100,1.1975638335060532,0.10507712773814859,0.010507712773814858,1.1767142516986655,1.218413415313441,100
ep_regression,nonlinear_panel,0.3816666666666666,0.10405633887973857,0.010405633887973857,0.3610196315149557,0.4023137018183775,100,0.7420000000000002,0.12486760665568632,0.012486760665568631,0.7172235578179471,0.7667764421820533,100,1.1686404522756957,0.10028260160890064,0.010028260160890064,1.1487422084703185,1.1885386960810729,100
random_k_search,linear_dense,0.36249999999999993,0.0780074171269873,0.007800741712698731,0.34702163605932224,0.37797836394067763,100,0.5100000000000001,0.062405933701589845,0.006240593370158984,0.497617308847458,0.5223826911525423,100,1.1457694602553834,0.052551929221941296,0.00525519292219413,1.1353420173757174,1.1561969031350494,100
random_k_search,linear_medium,0.4633333333333334,0.08729633986590898,0.008729633986590898,0.4460118455966734,0.48065482106999335,100,0.6439999999999999,0.10475560783909076,0.010475560783909075,0.6232142147160079,0.6647857852839919,100,1.131783746789867,0.046092956394550084,0.004609295639455008,1.1226379042475454,1.1409295893321887,100
random_k_search,linear_sparse,0.6350000000000001,0.043968410249720924,0.004396841024972092,0.6262757135051616,0.6437242864948386,100,0.8759999999999999,0.10552418459933027,0.010552418459933027,0.8550617124123876,0.8969382875876122,100,0.6709110684760299,0.05142445578329557,0.005142445578329557,0.6607073407872975,0.6811147961647622,100
random_k_search,linear_weak,0.5141666666666667,0.0902476639751644,0.00902476639751644,0.4962595721973086,0.5320737611360248,100,0.583,0.10829719677019727,0.010829719677019727,0.5615114866367703,0.6044885133632296,100,1.9254832896232883,0.06989706915736248,0.006989706915736247,1.911614194675007,1.9393523845715697,100
