method,fraction,group,half,run,J,features
dl_jacobian,0.5,15,A,half_15_A,0.8461538461538461,"[0, 23, 21, 20, 16, 26, 27, 24, 19, 15, 9, 18]"
dl_jacobian,0.5,15,B,half_15_B,1.0,"[23, 21, 20, 0, 16, 24, 19, 27, 15, 2, 18, 26]"
dl_jacobian,0.5,16,A,half_16_A,1.0,"[0, 20, 23, 21, 16, 27, 15, 19, 24, 2, 18, 26]"
dl_jacobian,0.5,16,B,half_16_B,0.8461538461538461,"[23, 21, 0, 16, 20, 15, 24, 27, 19, 2, 26, 22]"
dl_jacobian,0.5,17,A,half_17_A,0.8461538461538461,"[23, 0, 21, 20, 16, 19, 2, 26, 27, 24, 18, 5]"
dl_jacobian,0.5,17,B,half_17_B,0.8461538461538461,"[23, 0, 15, 21, 16, 20, 24, 27, 19, 18, 26, 12]"
dl_jacobian,0.5,18,A,half_18_A,0.7142857142857143,"[0, 23, 21, 20, 16, 24, 19, 2, 27, 3, 25, 18]"
dl_jacobian,0.5,18,B,half_18_B,1.0,"[23, 0, 21, 16, 15, 20, 19, 27, 24, 26, 18, 2]"
dl_jacobian,0.5,19,A,half_19_A,1.0,"[0, 23, 21, 20, 16, 24, 15, 27, 2, 18, 26, 19]"
dl_jacobian,0.5,19,B,half_19_B,0.8461538461538461,"[0, 23, 20, 21, 16, 27, 24, 15, 19, 2, 26, 7]"
dl_jacobian,0.5,20,A,half_20_A,1.0,"[23, 0, 20, 21, 15, 16, 19, 27, 26, 24, 18, 2]"
dl_jacobian,0.5,20,B,half_20_B,0.7142857142857143,"[0, 23, 21, 20, 24, 16, 2, 27, 25, 9, 15, 19]"
dl_jacobian,0.5,21,A,half_21_A,0.8461538461538461,"[23, 0, 21, 20, 15, 16, 27, 24, 19, 18, 2, 25]"
dl_jacobian,0.5,21,B,half_21_B,0.8461538461538461,"[23, 0, 16, 21, 15, 20, 19, 26, 24, 2, 18, 25]"
dl_jacobian,0.5,22,A,half_22_A,0.7142857142857143,"[0, 23, 21, 20, 16, 24, 15, 2, 27, 25, 22, 26]"
dl_jacobian,0.5,22,B,half_22_B,0.8461538461538461,"[23, 0, 21, 20, 16, 27, 19, 24, 15, 26, 2, 9]"
dl_jacobian,0.5,23,A,half_23_A,0.7142857142857143,"[0, 23, 21, 20, 16, 27, 24, 19, 15, 2, 5, 28]"
dl_jacobian,0.5,23,B,half_23_B,0.7142857142857143,"[0, 23, 20, 21, 16, 24, 19, 2, 15, 26, 22, 9]"
dl_jacobian,0.5,24,A,half_24_A,1.0,"[23, 0, 21, 20, 16, 2, 24, 15, 27, 19, 18, 26]"
dl_jacobian,0.5,24,B,half_24_B,0.8461538461538461,"[0, 23, 21, 20, 16, 15, 24, 19, 27, 26, 18, 28]"
dl_jacobian,0.5,25,A,half_25_A,1.0,"[23, 0, 15, 21, 16, 20, 19, 24, 27, 26, 2, 18]"
dl_jacobian,0.5,25,B,half_25_B,1.0,"[0, 23, 21, 20, 16, 27, 24, 19, 18, 15, 2, 26]"
dl_jacobian,0.5,26,A,half_26_A,0.8461538461538461,"[23, 0, 21, 16, 20, 24, 15, 2, 19, 27, 22, 18]"
dl_jacobian,0.5,26,B,half_26_B,0.8461538461538461,"[0, 23, 21, 20, 16, 15, 19, 27, 26, 24, 18, 17]"
dl_jacobian,0.5,27,A,half_27_A,1.0,"[23, 0, 21, 20, 16, 24, 19, 26, 27, 15, 2, 18]"
dl_jacobian,0.5,27,B,half_27_B,0.8461538461538461,"[0, 23, 15, 21, 16, 20, 19, 24, 27, 2, 18, 7]"
dl_jacobian,0.5,28,A,half_28_A,0.8461538461538461,"[0, 20, 23, 21, 16, 27, 15, 18, 19, 24, 3, 26]"
dl_jacobian,0.5,28,B,half_28_B,0.6,"[0, 23, 21, 20, 24, 22, 25, 16, 19, 2, 9, 26]"
dl_jacobian,0.5,29,A,half_29_A,0.8461538461538461,"[0, 23, 21, 20, 16, 24, 27, 2, 15, 26, 19, 9]"
dl_jacobian,0.5,29,B,half_29_B,0.8461538461538461,"[0, 23, 20, 21, 16, 15, 24, 19, 27, 22, 18, 26]"
dl_jacobian,0.7,0,,f70_00,1.0,"[23, 0, 21, 20, 16, 27, 24, 19, 15, 26, 2, 18]"
dl_jacobian,0.7,1,,f70_01,0.8461538461538461,"[23, 0, 21, 20, 16, 15, 27, 19, 24, 2, 18, 12]"
dl_jacobian,0.7,2,,f70_02,0.8461538461538461,"[0, 23, 21, 20, 16, 24, 27, 19, 15, 2, 9, 18]"
dl_jacobian,0.7,3,,f70_03,1.0,"[23, 21, 0, 15, 16, 20, 19, 27, 18, 26, 2, 24]"
dl_jacobian,0.7,4,,f70_04,0.8461538461538461,"[23, 15, 0, 21, 20, 16, 19, 24, 2, 18, 25, 27]"
dl_jacobian,0.7,5,,f70_05,1.0,"[23, 21, 0, 20, 16, 15, 24, 19, 27, 26, 18, 2]"
