candidate,comparator,xgboost_rmse_diff,xgboost_ratio_ci_high,xgboost_pointwise_within_1pct,tabm_rmse_diff,tabm_ratio_ci_high,tabm_pointwise_within_1pct,reference_J_diff,reference_J_ci_low,reference_J_bonf_low,complementary_J_diff,complementary_J_ci_low,complementary_J_bonf_low,mean_scene_FDP_diff,mean_scene_FDP_ci_low,mean_scene_FDP_ci_high,mean_scene_power_diff,mean_scene_power_ci_low,mean_scene_power_ci_high
dl_jacobian_lossrank,xgboost_shap,-0.001515312137464,0.0028903771925475,True,0.0022146017573634,0.0040224284063043,True,0.004029304029304,-0.0264323003429249,-0.0463206380842742,0.0590950226244343,0.0058233047860131,-0.0289577232742912,0.037083333333333315,0.032257759075685434,0.0419089075909812,-0.046000000000000034,-0.05165619077882365,-0.04034380922117642
dl_score_only,xgboost_shap,-0.001515312137464,0.0028903771925475,True,0.0022146017573634,0.0040224284063043,True,0.0465750915750915,0.0164883580525623,-0.0031552270494607,0.092721396250808,0.0526514419766186,0.0264898263851549,0.03402777777777779,0.02977262718298541,0.03828292837257017,-0.04177777777777778,-0.0468005395159293,-0.03675501603962626
tabm_budget_gate,xgboost_shap,-0.001515312137464,0.0028903771925475,True,0.0022146017573634,0.0040224284063043,True,0.0389560439560439,0.0154504647202378,0.0001037057992286,-0.0080112044817927,-0.0554581994257739,-0.0864362742745919,0.04777777777777775,0.04272051224636715,0.052835043309188354,-0.05772222222222221,-0.06367884748839983,-0.05176559695604459
ep_regression,xgboost_shap,0.0346535537046379,0.0270157560236455,False,0.0172616985868592,0.0152498314855187,False,-0.1410234863176039,-0.167748465776925,-0.1851971664797078,-0.15557698923024,-0.2000621238271546,-0.2291064043096171,0.05541666666666669,0.05002242987543108,0.0608109034579023,-0.06744444444444449,-0.07380502968630939,-0.06108385920257958
ep_refresh,xgboost_shap,0.1952860186105507,0.1255453132278122,False,0.1778853406749152,0.1135265033917189,False,-0.3085425857252482,-0.3435556912564453,-0.3664156975669731,-0.2688454545110891,-0.3227081698296496,-0.3578750592958625,0.28874999999999995,0.2805046578692135,0.2969953421307864,-0.32961111111111113,-0.33939524154667344,-0.3198269806755488
ep_dispersion,xgboost_shap,0.0240039511383538,0.0202910700013176,False,0.0325110323494217,0.0271848942362045,False,-0.318398106881079,-0.3533520821020969,-0.37617348231804,-0.2658949409723403,-0.3198566164709148,-0.3550881168965182,0.2758333333333333,0.26765933737044917,0.28400732929621747,-0.31405555555555553,-0.32373884070951997,-0.3043722704015911
vtfs_cardinality,xgboost_shap,0.021033517207424,0.0195079500753835,False,0.034991677980436,0.0296193994487404,False,-0.3141352438411261,-0.3483613972337726,-0.3707076036233729,-0.2556823431126837,-0.3368613407460123,-0.3898629917000162,0.22777777777777772,0.22061902916116677,0.23493652639438867,-0.2588333333333333,-0.2673200718302767,-0.25034659483638994
vtfs_pairrank,xgboost_shap,0.0187770905113688,0.0186494860096364,False,0.0377133850213611,0.0305735969126653,False,-0.3348923591028854,-0.3789710464044298,-0.4077499580315422,-0.2471465995305004,-0.3144839224648745,-0.3584483638893083,0.22152777777777777,0.2143637507144871,0.22869180484106844,-0.25027777777777777,-0.25874665981662465,-0.24180889573893088
random_k_search,xgboost_shap,0.0195686024839198,0.0190984633779766,False,0.0354848337144764,0.0291155784294645,False,-0.3313080778870252,-0.4108662535438026,-0.4628096721573705,-0.2859155808072218,-0.3816989604533436,-0.4442357914466142,0.2595833333333333,0.25246584888141443,0.2667008177852521,-0.2991666666666666,-0.3078103203196294,-0.29052301301370376
ep_dispersion,ep_refresh,-0.1712820674721968,-0.0680469778629279,True,-0.1453743083254934,-0.0561512687613638,True,-0.0098555211558307,-0.0455588571310381,-0.0688695139070532,0.0029505135387488,-0.0504406153314254,-0.0852996066828462,-0.012916666666666634,-0.02105362816799643,-0.004779705165336837,0.015555555555555517,0.005620406892853333,0.0254907042182577
vtfs_pairrank,random_k_search,-0.000791511972551,0.0016724742222418,True,0.0022285513068847,0.0033795989227154,True,-0.0035842812158601,-0.0750299747879191,-0.1216767655006725,0.0387689812767212,-0.0650403807550953,-0.1328173641199311,-0.0380555555555555,-0.044970820536871466,-0.031140290574239535,0.04888888888888884,0.040381818068278744,0.05739595970949894
vtfs_cardinality,random_k_search,0.0014649147235041,0.0054553936555217,True,-0.0004931557340404,0.0030669171928486,True,0.017172834045899,-0.0694493808487682,-0.126004900534379,0.030233237694538,-0.0869965000713592,-0.1635356274767283,-0.03180555555555553,-0.03849719930610736,-0.025113911805003705,0.040333333333333284,0.03219155472098821,0.048475111945678356
dl_jacobian,dl_score_only,0.0010321862274069,0.0016264937322257,True,0.0006103966598711,0.0019234795239891,True,0.0471062271062271,0.0160672033654575,-0.0041981306522402,0.0051282051282051,-0.0425335153285384,-0.0736517841562197,0.00013888888888888284,-0.0039950918102678095,0.004272869588045575,-0.0007222222222222508,-0.005628377727363543,0.004183933282919041
dl_jacobian,dl_jacobian_lossrank,0.0010321862274069,0.0016264937322257,True,0.0006103966598711,0.0019234795239891,True,0.0896520146520146,0.0642757057708433,0.0477075501513825,0.0387545787545787,0.0109615917292417,-0.0071844095793687,-0.002916666666666667,-0.005239313820073031,-0.0005940195132603031,0.003500000000000017,0.0007128234159123636,0.006287176584087671
