candidate,comparator,scene,metric,mean,sd,se,ci_low,ci_high,n
ep_dispersion,xgboost_shap,linear_sparse,rmse,0.015701363190347498,0.033365135095022036,0.0033365135095022036,0.009080996525855499,0.022321729854839496,100
vtfs_cardinality,xgboost_shap,linear_sparse,rmse,0.012843263830403772,0.02711853818944741,0.002711853818944741,0.007462357512840059,0.018224170147967487,100
vtfs_pairrank,xgboost_shap,linear_sparse,rmse,0.009688448508572608,0.024613860121454292,0.002461386012145429,0.004804524659067291,0.014572372358077925,100
random_k_search,xgboost_shap,linear_sparse,rmse,0.03231205854500107,0.03546538211124423,0.003546538211124423,0.02527495730731471,0.03934915978268743,100
ep_dispersion,ep_refresh,linear_sparse,rmse,-0.00337648257465494,0.039711581167196724,0.003971158116719673,-0.01125612182697141,0.0045031566776615305,100
vtfs_pairrank,random_k_search,linear_sparse,rmse,-0.022623610036428467,0.03491880738542623,0.003491880738542623,-0.0295522589904914,-0.015694961082365535,100
vtfs_cardinality,random_k_search,linear_sparse,rmse,-0.019468794714597303,0.03699861455444621,0.003699861455444621,-0.026810122532724107,-0.012127466896470498,100
dl_jacobian,dl_score_only,linear_sparse,rmse,-0.001143557702524518,0.005180395702812009,0.0005180395702812009,-0.0021714605994287506,-0.00011565480562028552,100
dl_jacobian,dl_jacobian_lossrank,linear_sparse,rmse,-0.00043382830771662825,0.0027416770360852907,0.00027416770360852904,-0.0009778365127728799,0.00011017989733962336,100
dl_jacobian,deep_lasso,linear_medium,FDP,-0.0033333333333333335,0.016412198797244367,0.0016412198797244367,-0.006589869639835603,-7.679702683106469e-05,100
dl_jacobian_lossrank,deep_lasso,linear_medium,FDP,-0.0033333333333333335,0.016412198797244367,0.0016412198797244367,-0.006589869639835603,-7.679702683106469e-05,100
dl_score_only,deep_lasso,linear_medium,FDP,0.0,0.0,0.0,0.0,0.0,100
tabm_budget_gate,tabm,linear_medium,FDP,0.02916666666666667,0.04644336908522607,0.004644336908522607,0.019951294644258682,0.03838203868907466,100
ep_refresh,ep_regression,linear_medium,FDP,0.32916666666666666,0.11008044706503586,0.011008044706503586,0.3073243177570568,0.3510090155762765,100
ep_dispersion,ep_regression,linear_medium,FDP,0.3116666666666667,0.11642591802656198,0.011642591802656197,0.28856523865234024,0.33476809468099317,100
