scene,method,rule,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,size_mean,size_sd,size_se,size_ci_low,size_ci_high,size_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n
global_null,xgb_sko_ridge,native,0.03,0.1714466079977653,0.01714466079977653,-0.0040187265867829974,0.064018726586783,100,0.3,1.8340219092574555,0.18340219092574556,-0.06390973617869627,0.6639097361786963,100,0.9993292874405418,0.03051970236007127,0.0030519702360071272,0.9932735163627565,1.005385058518327,100.0,,,,,,
global_null,xgb_sko_ridge,native10,0.01,0.09999999999999999,0.009999999999999998,-0.009842169515086823,0.029842169515086822,100,0.14,1.3999999999999997,0.13999999999999996,-0.13779037321121546,0.4177903732112155,100,,,,,,,,,,,,
global_null,xgb_sko_ridge,top12,1.0,0.0,0.0,1.0,1.0,100,12.0,0.0,0.0,12.0,12.0,100,1.0169251562170118,0.030774798734910843,0.0030774798734910843,1.0108187684841041,1.0230315439499196,100.0,,,,,,
global_null,xgb_sko_ridge,top8,1.0,0.0,0.0,1.0,1.0,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,,,,,,
global_null,xgb_sko_scale,native,0.02,0.14070529413628965,0.014070529413628966,-0.00791898297922412,0.04791898297922412,100,0.11,0.7771353768420233,0.07771353768420233,-0.04420051883470309,0.2642005188347031,100,0.9990158010590154,0.03011417731328662,0.0030114177313286623,0.9930404949484393,1.0049911071695916,100.0,,,,,,
global_null,xgb_sko_scale,native10,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,,,,,,,,,,,,
global_null,xgb_sko_scale,top12,1.0,0.0,0.0,1.0,1.0,100,12.0,0.0,0.0,12.0,12.0,100,1.0159778308677871,0.030939714713408725,0.0030939714713408726,1.0098387202268684,1.022116941508706,100.0,,,,,,
global_null,xgb_sko_scale,top8,1.0,0.0,0.0,1.0,1.0,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,,,,,,
high_correlation,deep_lasso,top12,0.26416666666666666,0.0803812115451895,0.00803812115451895,0.24821729041358961,0.2801160429197437,100,12.0,0.0,0.0,12.0,12.0,100,0.7785612937220125,0.046324805610819746,0.004632480561081975,0.7693694472651792,0.7877531401788459,100.0,0.883,0.09645745385422737,0.009645745385422736,0.8638607484963076,0.9021392515036925,100.0
high_correlation,deep_lasso,top8,0.08875,0.10850074477238217,0.010850074477238217,0.06722109829713221,0.11027890170286778,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7289999999999999,0.08680059581790578,0.008680059581790578,0.7117768786377057,0.7462231213622941,100.0
high_correlation,lasso_pair_q20,native,0.15492052198747244,0.15601403780982567,0.015601403780982567,0.12396395213791518,0.18587709183702972,100,9.85,4.7362240426122355,0.47362240426122354,8.910230396850581,10.789769603149418,100,0.8351748611820251,0.13881403876776374,0.013881403876776374,0.8076311442989871,0.8627185780650631,100.0,0.7730000000000001,0.30841890704401087,0.030841890704401086,0.7118029976477495,0.8341970023522508,100.0
