method,fraction,group,run,half,J,set,native_size
xgb_sko_scale,0.5,3,half_03_B,B,0.4117647058823529,"[0, 16, 21, 22, 2, 23, 28, 8, 27, 25, 13, 11]",0.0
xgb_sko_quad_scale,0.5,3,half_03_B,B,0.3333333333333333,"[0, 16, 2, 21, 8, 28, 23, 3, 5, 22, 26, 25]",0.0
tabm_sko_ridge,0.5,3,half_03_B,B,0.4117647058823529,"[0, 16, 19, 25, 2, 26, 20, 8, 22, 23, 27, 6]",0.0
tabm_sko_quad,0.5,3,half_03_B,B,0.5,"[0, 16, 19, 2, 26, 20, 8, 1, 25, 4, 9, 23]",0.0
tabm_sko_scale,0.5,3,half_03_B,B,0.6,"[0, 16, 19, 15, 2, 25, 26, 27, 20, 8, 22, 1]",0.0
tabm_sko_quad_scale,0.5,3,half_03_B,B,0.4117647058823529,"[0, 16, 19, 2, 26, 8, 20, 1, 4, 25, 23, 3]",0.0
xgb_sko_ridge,0.5,4,half_04_A,A,0.3333333333333333,"[0, 8, 19, 15, 23, 25, 16, 2, 20, 26, 18, 3]",0.0
xgb_sko_quad,0.5,4,half_04_A,A,0.4117647058823529,"[0, 8, 15, 24, 19, 2, 20, 26, 4, 3, 25, 6]",0.0
xgb_sko_scale,0.5,4,half_04_A,A,0.2,"[0, 18, 19, 15, 8, 25, 23, 20, 26, 2, 6, 5]",0.0
xgb_sko_quad_scale,0.5,4,half_04_A,A,0.4117647058823529,"[0, 8, 24, 15, 25, 18, 3, 2, 19, 4, 20, 26]",0.0
tabm_sko_ridge,0.5,4,half_04_A,A,0.3333333333333333,"[0, 16, 15, 19, 26, 20, 2, 18, 17, 8, 5, 27]",0.0
tabm_sko_quad,0.5,4,half_04_A,A,0.3333333333333333,"[0, 15, 19, 16, 26, 27, 17, 8, 18, 2, 20, 24]",0.0
tabm_sko_scale,0.5,4,half_04_A,A,0.5,"[0, 16, 19, 15, 18, 20, 26, 17, 27, 2, 5, 25]",0.0
