method,group,k,complementary_jaccard
stability_selection,25,4,0.3333333333333333
stability_selection,26,4,0.3333333333333333
stability_selection,27,4,1.0
stability_selection,28,4,1.0
stability_selection,29,4,0.3333333333333333
stability_selection,0,8,0.3333333333333333
stability_selection,1,8,0.45454545454545453
stability_selection,2,8,0.6
stability_selection,3,8,0.6
stability_selection,4,8,0.6
stability_selection,5,8,0.45454545454545453
stability_selection,6,8,0.45454545454545453
stability_selection,7,8,0.3333333333333333
stability_selection,8,8,0.45454545454545453
stability_selection,9,8,0.6
stability_selection,10,8,0.45454545454545453
stability_selection,11,8,0.45454545454545453
stability_selection,12,8,0.45454545454545453
stability_selection,13,8,0.6
stability_selection,14,8,0.45454545454545453
stability_selection,15,8,0.6
stability_selection,16,8,0.45454545454545453
stability_selection,17,8,0.3333333333333333
stability_selection,18,8,0.45454545454545453
stability_selection,19,8,0.45454545454545453
stability_selection,20,8,0.45454545454545453
stability_selection,21,8,0.6
stability_selection,22,8,0.7777777777777778
stability_selection,23,8,0.45454545454545453
stability_selection,24,8,0.45454545454545453
stability_selection,25,8,0.3333333333333333
stability_selection,26,8,0.3333333333333333
stability_selection,27,8,0.6
stability_selection,28,8,0.45454545454545453
stability_selection,29,8,0.3333333333333333
stability_selection,0,10,0.3333333333333333
stability_selection,1,10,0.42857142857142855
stability_selection,2,10,0.5384615384615384
stability_selection,3,10,0.5384615384615384
stability_selection,4,10,0.5384615384615384
stability_selection,5,10,0.6666666666666666
stability_selection,6,10,0.5384615384615384
stability_selection,7,10,0.3333333333333333
stability_selection,8,10,0.42857142857142855
stability_selection,9,10,0.5384615384615384
stability_selection,10,10,0.5384615384615384
stability_selection,11,10,0.42857142857142855
stability_selection,12,10,0.5384615384615384
stability_selection,13,10,0.6666666666666666
stability_selection,14,10,0.5384615384615384
stability_selection,15,10,0.5384615384615384
stability_selection,16,10,0.5384615384615384
stability_selection,17,10,0.3333333333333333
stability_selection,18,10,0.5384615384615384
stability_selection,19,10,0.42857142857142855
stability_selection,20,10,0.42857142857142855
stability_selection,21,10,0.42857142857142855
stability_selection,22,10,0.5384615384615384
stability_selection,23,10,0.42857142857142855
stability_selection,24,10,0.42857142857142855
stability_selection,25,10,0.25
stability_selection,26,10,0.42857142857142855
stability_selection,27,10,0.5384615384615384
stability_selection,28,10,0.3333333333333333
stability_selection,29,10,0.42857142857142855
stability_selection,0,12,0.3333333333333333
stability_selection,1,12,0.3333333333333333
stability_selection,2,12,0.6
stability_selection,3,12,0.6
stability_selection,4,12,0.4117647058823529
stability_selection,5,12,0.6
stability_selection,6,12,0.6
stability_selection,7,12,0.5
stability_selection,8,12,0.4117647058823529
stability_selection,9,12,0.5
stability_selection,10,12,0.6
stability_selection,11,12,0.4117647058823529
stability_selection,12,12,0.6
stability_selection,13,12,0.5
stability_selection,14,12,0.4117647058823529
stability_selection,15,12,0.5
stability_selection,16,12,0.4117647058823529
stability_selection,17,12,0.3333333333333333
stability_selection,18,12,0.5
stability_selection,19,12,0.5
stability_selection,20,12,0.5
stability_selection,21,12,0.4117647058823529
stability_selection,22,12,0.6
stability_selection,23,12,0.5
stability_selection,24,12,0.3333333333333333
stability_selection,25,12,0.5
stability_selection,26,12,0.3333333333333333
stability_selection,27,12,0.4117647058823529
stability_selection,28,12,0.4117647058823529
stability_selection,29,12,0.4117647058823529
stability_selection,0,14,0.47368421052631576
stability_selection,1,14,0.3333333333333333
stability_selection,2,14,0.75
stability_selection,3,14,0.5555555555555556
stability_selection,4,14,0.5555555555555556
stability_selection,5,14,0.6470588235294118
stability_selection,6,14,0.47368421052631576
stability_selection,7,14,0.47368421052631576
stability_selection,8,14,0.47368421052631576
stability_selection,9,14,0.5555555555555556
stability_selection,10,14,0.5555555555555556
stability_selection,11,14,0.4
stability_selection,12,14,0.5555555555555556
stability_selection,13,14,0.6470588235294118
stability_selection,14,14,0.3333333333333333
stability_selection,15,14,0.47368421052631576
stability_selection,16,14,0.5555555555555556
stability_selection,17,14,0.47368421052631576
stability_selection,18,14,0.47368421052631576
stability_selection,19,14,0.5555555555555556
stability_selection,20,14,0.5555555555555556
stability_selection,21,14,0.47368421052631576
stability_selection,22,14,0.6470588235294118
stability_selection,23,14,0.47368421052631576
stability_selection,24,14,0.3333333333333333
stability_selection,25,14,0.47368421052631576
stability_selection,26,14,0.4
stability_selection,27,14,0.4
stability_selection,28,14,0.4
stability_selection,29,14,0.47368421052631576
tabm,0,4,0.3333333333333333
tabm,1,4,0.6
tabm,2,4,0.3333333333333333
tabm,3,4,0.3333333333333333
tabm,4,4,1.0
tabm,5,4,0.3333333333333333
tabm,6,4,0.6
tabm,7,4,0.6
tabm,8,4,0.6
tabm,9,4,0.6
tabm,10,4,0.3333333333333333
tabm,11,4,0.6
tabm,12,4,0.6
tabm,13,4,1.0
tabm,14,4,0.6
tabm,15,4,0.6
tabm,16,4,0.6
tabm,17,4,0.6
tabm,18,4,0.6
tabm,19,4,0.3333333333333333
tabm,20,4,0.6
tabm,21,4,0.3333333333333333
tabm,22,4,0.6
tabm,23,4,0.6
tabm,24,4,0.6
tabm,25,4,0.3333333333333333
tabm,26,4,0.6
tabm,27,4,1.0
tabm,28,4,0.6
tabm,29,4,0.6
tabm,0,8,0.7777777777777778
tabm,1,8,0.7777777777777778
tabm,2,8,0.7777777777777778
tabm,3,8,1.0
tabm,4,8,1.0
tabm,5,8,0.7777777777777778
tabm,6,8,0.7777777777777778
tabm,7,8,0.7777777777777778
tabm,8,8,0.6
tabm,9,8,0.7777777777777778
tabm,10,8,0.7777777777777778
tabm,11,8,0.7777777777777778
tabm,12,8,0.6
tabm,13,8,0.7777777777777778
tabm,14,8,0.7777777777777778
tabm,15,8,0.7777777777777778
tabm,16,8,0.7777777777777778
tabm,17,8,0.6
tabm,18,8,0.7777777777777778
tabm,19,8,0.7777777777777778
tabm,20,8,0.6
tabm,21,8,0.7777777777777778
tabm,22,8,0.6
tabm,23,8,0.45454545454545453
tabm,24,8,0.7777777777777778
tabm,25,8,1.0
tabm,26,8,0.7777777777777778
tabm,27,8,0.7777777777777778
tabm,28,8,0.6
tabm,29,8,0.6
