comparison,k,mean,sd,se,ci_low,ci_high,n
elastic_net - xgboost_shap,8,-0.25077441077441087,0.16102970340110545,0.029399866993717275,-0.3109038902247203,-0.1906449313241014,30
shadow_trees - stability_selection,8,0.52013468013468,0.10870027372157917,0.019845863974764982,0.4795453308597571,0.5607240294096029,30
shadow_trees - tabm,8,0.2522558922558923,0.12412468852769294,0.022661963949973378,0.205906971836464,0.2986048126753206,30
shadow_trees - vtfs,8,0.6511814111814113,0.3379335752484337,0.061697947367312204,0.524994940367041,0.7773678819957816,30
shadow_trees - xgboost_shap,8,0.21629629629629632,0.10551958787623826,0.01926515284615478,0.17689463463512334,0.2556979579574693,30
stability_selection - tabm,8,-0.26787878787878794,0.15504636951497372,0.028307464680877477,-0.32577405373774315,-0.20998352201983275,30
stability_selection - vtfs,8,0.13104673104673104,0.3540717535300218,0.06464436212793412,-0.0011658345740805376,0.2632592966675426,30
stability_selection - xgboost_shap,8,-0.30383838383838385,0.17031418166463702,0.03109497305358482,-0.3674347444488932,-0.24024202322787452,30
tabm - vtfs,8,0.3989255189255188,0.35333498682483955,0.06450984754658509,0.2669880665137813,0.5308629713372564,30
tabm - xgboost_shap,8,-0.03595959595959597,0.17173266060003586,0.03135395069033944,-0.10008562530944533,0.02816643339025339,30
vtfs - xgboost_shap,8,-0.43488511488511483,0.3866593983913434,0.07059402485677184,-0.5792661070796374,-0.2905041226905922,30
copula_mvr - deep_lasso,10,-0.17374847374847371,0.16465626555795787,0.030061983626884826,-0.23523213376348656,-0.11226481373346087,30
copula_mvr - elastic_net,10,0.11023421023421026,0.1118581188140899,0.020422404971523353,0.06846570222281241,0.15200271824560813,30
copula_mvr - shadow_trees,10,-0.21539571539571542,0.11485181279874393,0.020968976213410866,-0.2582820871125589,-0.17250934367887194,30
copula_mvr - stability_selection,10,0.18997946497946494,0.13273650337482643,0.024234259034251013,0.1404148400474925,0.23954408991143739,30
copula_mvr - tabm,10,-0.05928515928515932,0.15906324413553175,0.029040842294327355,-0.11868035077801872,0.0001100322077000962,30
copula_mvr - vtfs,10,0.24572045601457365,0.3051095626282641,0.055705129987345156,0.13179067294559998,0.3596502390835473,30
copula_mvr - xgboost_shap,10,-0.06900876900876902,0.15964001145224233,0.02914614511759206,-0.12861932895716968,-0.009398209060368375,30
deep_lasso - elastic_net,10,0.2839826839826839,0.17976670043488502,0.032820758972153426,0.21685669485554282,0.35110867310982496,30
deep_lasso - shadow_trees,10,-0.04164724164724168,0.15861537357226443,0.02895907269087934,-0.10087519552330378,0.01758071222882042,30
deep_lasso - stability_selection,10,0.36372793872793874,0.16622119766605176,0.030347699832407204,0.30165992346015386,0.4257959539957236,30
deep_lasso - tabm,10,0.11446331446331447,0.15457747205866904,0.02822185610955252,0.05674313779205372,0.1721834911345752,30
deep_lasso - vtfs,10,0.4194689297630474,0.34827493081959693,0.06358601194114814,0.28942093331600716,0.5495169262100876,30
deep_lasso - xgboost_shap,10,0.10473970473970473,0.18691266197714518,0.03412542708274019,0.034945369719646346,0.17453403975976312,30
elastic_net - shadow_trees,10,-0.32562992562992565,0.1343181612541329,0.024523028933834994,-0.37578515132028295,-0.27547469993956836,30
elastic_net - stability_selection,10,0.07974525474525475,0.12050705525251436,0.022001477500107842,0.03474718079131846,0.12474332869919104,30
elastic_net - tabm,10,-0.16951936951936955,0.15214492647208527,0.027777736079575333,-0.2263312187406561,-0.11270752029808301,30
elastic_net - vtfs,10,0.1354862457803634,0.31069648245132564,0.05672515732536635,0.019470272563883076,0.2515022189968437,30
elastic_net - xgboost_shap,10,-0.1792429792429793,0.1227405742319365,0.022409260409322982,-0.2250750628903975,-0.1334108955955611,30
shadow_trees - stability_selection,10,0.40537518037518044,0.12381018937010167,0.02260454452233034,0.359143695871202,0.4516066648791589,30
shadow_trees - tabm,10,0.15611055611055613,0.15738689988592733,0.02873478510777655,0.09734132184781816,0.2148797903732941,30
shadow_trees - vtfs,10,0.4611161714102892,0.3034637440509615,0.05540464600056192,0.34780094709807086,0.5744313957225076,30
shadow_trees - xgboost_shap,10,0.1463869463869464,0.1544179769949286,0.028192736428145397,0.08872632615126896,0.20404756662262385,30
stability_selection - tabm,10,-0.24926462426462428,0.14027308439789735,0.025610244178518118,-0.301643454800786,-0.19688579372846252,30
stability_selection - vtfs,10,0.05574099103510866,0.31899163321726853,0.058239637722837405,-0.06337244238270837,0.1748544244529257,30
stability_selection - xgboost_shap,10,-0.258988233988234,0.16077449556982545,0.0293532726317026,-0.3190224172681948,-0.1989540507082732,30
tabm - vtfs,10,0.305005615299733,0.3645654292006328,0.06656023641991306,0.1688746467863661,0.44113658381309995,30
tabm - xgboost_shap,10,-0.009723609723609722,0.15454128929446756,0.028215250070837174,-0.06743027552867277,0.047983056081453326,30
vtfs - xgboost_shap,10,-0.31472922502334266,0.3538949321606679,0.06461207911038609,-0.44687576445972754,-0.18258268558695778,30
copula_mvr - deep_lasso,12,-0.12008403361344538,0.14011803002155304,0.025581935251996892,-0.172404965893949,-0.06776310133294179,30
copula_mvr - elastic_net,12,0.086218487394958,0.10373574331818668,0.01893946887831222,0.04748292423878402,0.12495405055113196,30
copula_mvr - shadow_trees,12,-0.26477267830209006,0.08376853574542352,0.015293972212315432,-0.2960523636166715,-0.23349299298750864,30
copula_mvr - stability_selection,12,0.1489262371615313,0.09672299756940125,0.017659122532759475,0.11280927630347809,0.18504319801958452,30
copula_mvr - tabm,12,-0.07448107448107448,0.182301744481635,0.03328359257504481,-0.14255366461222407,-0.006408484349924873,30
copula_mvr - vtfs,12,0.1841019214703425,0.31266386264101503,0.0570843501617269,0.06735131641769584,0.3008525265229891,30
copula_mvr - xgboost_shap,12,-0.037728937728937734,0.11839030616914283,0.021615013759594185,-0.08193660458516601,0.006478729127290542,30
deep_lasso - elastic_net,12,0.20630252100840335,0.1579955442275581,0.0288459078529129,0.14730601521339737,0.26529902680340933,30
deep_lasso - shadow_trees,12,-0.14468864468864467,0.133607118202081,0.024393210827512942,-0.19457836253986655,-0.0947989268374228,30
deep_lasso - stability_selection,12,0.26901027077497663,0.1438855901622122,0.026269794477262343,0.2152825084173457,0.32273803313260757,30
