method,scenario,rep,rmse_at_12,seconds,rule,FDP,power,discoveries,FDP_gt_0.2
xgboost_shap,linear_sparse,43,0.6395431586406276,0.594591915840283,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,43,0.6395431586406276,0.594591915840283,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,43,0.6395431586406276,0.594591915840283,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,43,0.6395431586406276,0.594591915840283,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,43,0.6395431586406276,0.594591915840283,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,44,0.6240582739705064,0.5964375420007855,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,44,0.6240582739705064,0.5964375420007855,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,44,0.6240582739705064,0.5964375420007855,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,44,0.6240582739705064,0.5964375420007855,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,44,0.6240582739705064,0.5964375420007855,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,45,0.6548085863173256,0.5865914998576045,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,45,0.6548085863173256,0.5865914998576045,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,45,0.6548085863173256,0.5865914998576045,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,45,0.6548085863173256,0.5865914998576045,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,45,0.6548085863173256,0.5865914998576045,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,46,0.6083773805985888,0.5838581658899784,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,46,0.6083773805985888,0.5838581658899784,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,46,0.6083773805985888,0.5838581658899784,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,46,0.6083773805985888,0.5838581658899784,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,46,0.6083773805985888,0.5838581658899784,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,47,0.6161897501814588,0.5909620409365743,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,47,0.6161897501814588,0.5909620409365743,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,47,0.6161897501814588,0.5909620409365743,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,47,0.6161897501814588,0.5909620409365743,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,47,0.6161897501814588,0.5909620409365743,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,48,0.6087175642578373,0.6028520839754492,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,48,0.6087175642578373,0.6028520839754492,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,48,0.6087175642578373,0.6028520839754492,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,48,0.6087175642578373,0.6028520839754492,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,48,0.6087175642578373,0.6028520839754492,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,49,0.6186005163074203,0.6249272502027452,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,49,0.6186005163074203,0.6249272502027452,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,49,0.6186005163074203,0.6249272502027452,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,49,0.6186005163074203,0.6249272502027452,top12,0.5833333333333334,1.0,12,True
