method,fraction,k,metric,mean,sd,se,ci_low,ci_high,n,nogueira
tabm,0.8,14,reference_jaccard,0.8341666666666667,0.09023604523497872,0.02017739311661584,0.791934897518338,0.8763984358149954,20,0.7813135780628041
vtfs,0.5,4,reference_jaccard,0.2476190476190476,0.2209420472075318,0.04033831438564549,0.16511793132385738,0.3301201639142378,30,0.23100020924879683
vtfs,0.5,8,reference_jaccard,0.29356310356310356,0.22356546441987032,0.04081728264729386,0.2100823871815493,0.3770438199446578,30,0.24194301154507503
vtfs,0.5,10,reference_jaccard,0.3687483540424717,0.20155738974490528,0.03679917633171502,0.29348558780277995,0.44401112028216344,30,0.2910115684691955
vtfs,0.5,12,reference_jaccard,0.40676691729323317,0.18495970088653518,0.03376886680165453,0.33770182992925835,0.475832004657208,30,0.2733174744771534
vtfs,0.5,14,reference_jaccard,0.4101003642563745,0.18583568104241768,0.03392879816542244,0.34070818052651486,0.4794925479862342,30,0.2627142382376678
vtfs,0.7,4,reference_jaccard,0.34285714285714286,0.3916420031694973,0.08757381419311841,0.15956304321466627,0.5261512424996194,20,0.3428362573099417
vtfs,0.7,8,reference_jaccard,0.3641358641358642,0.39673289079861584,0.08871217127357058,0.17845915574149526,0.5498125725302331,20,0.28529748283752865
vtfs,0.7,10,reference_jaccard,0.43374811463046753,0.3527831385551221,0.07888470791249799,0.2686405234446394,0.5988557058162957,20,0.34503759398496225
vtfs,0.7,12,reference_jaccard,0.4814035087719299,0.32427223773423497,0.07250947667897217,0.32963942991028616,0.6331675876335736,20,0.34522160664819934
vtfs,0.7,14,reference_jaccard,0.48693908393396884,0.32647449597761985,0.07300191659259396,0.334144316487764,0.6397338513801737,20,0.30897832817337434
vtfs,0.8,4,reference_jaccard,0.12857142857142856,0.04397050080364946,0.009832102880166933,0.10799260073782241,0.1491502564050347,20,0.6631091617933723
vtfs,0.8,8,reference_jaccard,0.1136596736596737,0.12218680814159232,0.027321800895832516,0.05647448717494301,0.17084486014440436,20,0.6275743707093822
vtfs,0.8,10,reference_jaccard,0.22527472527472528,0.12095950908994127,0.027047368485011238,0.16866393242715277,0.2818855181222978,20,0.6573684210526316
vtfs,0.8,12,reference_jaccard,0.2971929824561404,0.10579796428367509,0.023657144001939235,0.24767801100148143,0.3467079539107994,20,0.6350415512465374
vtfs,0.8,14,reference_jaccard,0.3078877005347593,0.11930611951479399,0.026677659336679357,0.2520507178277802,0.36372468324173834,20,0.6243255196815567
xgboost_shap,0.5,4,reference_jaccard,0.7400000000000002,0.09321831993987985,0.01701925886793527,0.7051917072761691,0.7748082927238313,30,0.8023174304247751
xgboost_shap,0.5,8,reference_jaccard,0.8029629629629632,0.051452576944090916,0.009393912344682941,0.7837502549800214,0.822175670945905,30,0.8724514861213462
xgboost_shap,0.5,10,reference_jaccard,0.7902874902874902,0.06400635327890354,0.011685907838166741,0.7663871251816408,0.8141878553933397,30,0.8176863061608826
xgboost_shap,0.5,12,reference_jaccard,0.7681501831501834,0.04832030817418377,0.008822040924200573,0.7501070835479006,0.7861932827524661,30,0.7438943403707008
xgboost_shap,0.5,14,reference_jaccard,0.7943489852081185,0.05594862178896054,0.01021477407171291,0.7734574264889627,0.8152405439272743,30,0.7056449698523477
xgboost_shap,0.7,4,reference_jaccard,0.8,0.20519567041703085,0.04588314677411236,0.703965470109838,0.8960345298901621,20,0.8172027290448343
xgboost_shap,0.7,8,reference_jaccard,0.8444444444444444,0.1044805213292505,0.02336255480168208,0.7955460552720925,0.8933428336167963,20,0.8962528604118993
xgboost_shap,0.7,10,reference_jaccard,0.8212121212121213,0.07672429452181988,0.017156073807650395,0.7853040460535055,0.8571201963707371,20,0.8376190476190476
xgboost_shap,0.7,12,reference_jaccard,0.847032967032967,0.12344487673225925,0.02760311358474138,0.7892589863235399,0.9048069477423942,20,0.8168051708217913
xgboost_shap,0.7,14,reference_jaccard,0.865,0.09472953188170156,0.021182167276421825,0.8206652143659495,0.9093347856340505,20,0.7833701901813357
xgboost_shap,0.8,4,reference_jaccard,0.8,0.20519567041703085,0.04588314677411236,0.703965470109838,0.8960345298901621,20,0.8126705653021442
xgboost_shap,0.8,8,reference_jaccard,0.8777777777777779,0.11342617456312008,0.0253628636750894,0.8246926940171382,0.9308628615384176,20,0.8873855835240274
xgboost_shap,0.8,10,reference_jaccard,0.8545454545454545,0.07461660742437483,0.01668478064513176,0.8196238073126683,0.8894671017782407,20,0.9005513784461152
xgboost_shap,0.8,12,reference_jaccard,0.8219780219780219,0.0858343244522314,0.01919313842779618,0.7818063215690569,0.862149722386987,20,0.8454293628808864
xgboost_shap,0.8,14,reference_jaccard,0.8775000000000001,0.09524898120742621,0.0212983196767405,0.8329221045981053,0.9220778954018948,20,0.8162759840778416
