method,run,group,fraction,half,k,reference_jaccard,features,native_count,seconds
copula_mvr,half_09_B,9,0.5,B,10,0.8181818181818182,"[23, 0, 21, 24, 27, 16, 20, 17, 2, 9]",11.0,0.6936556249856949
copula_mvr,half_09_B,9,0.5,B,12,0.8461538461538461,"[23, 0, 21, 24, 27, 16, 20, 17, 2, 9, 22, 26]",11.0,0.6936556249856949
copula_mvr,half_09_B,9,0.5,B,14,0.6470588235294118,"[23, 0, 21, 24, 27, 16, 20, 17, 2, 9, 22, 26, 13, 28]",11.0,0.6936556249856949
copula_mvr,half_10_A,10,0.5,A,4,1.0,"[0, 23, 21, 20]",0.0,0.6647796670440584
copula_mvr,half_10_A,10,0.5,A,8,0.7777777777777778,"[0, 23, 21, 20, 24, 27, 16, 17]",0.0,0.6647796670440584
copula_mvr,half_10_A,10,0.5,A,10,1.0,"[0, 23, 21, 20, 24, 27, 16, 17, 22, 2]",0.0,0.6647796670440584
copula_mvr,half_10_A,10,0.5,A,12,0.7142857142857143,"[0, 23, 21, 20, 24, 27, 16, 17, 22, 2, 8, 9]",0.0,0.6647796670440584
copula_mvr,half_10_A,10,0.5,A,14,0.6470588235294118,"[0, 23, 21, 20, 24, 27, 16, 17, 22, 2, 8, 9, 7, 28]",0.0,0.6647796670440584
copula_mvr,half_10_B,10,0.5,B,4,1.0,"[21, 0, 23, 20]",10.0,0.6302134578581899
copula_mvr,half_10_B,10,0.5,B,8,0.7777777777777778,"[21, 0, 23, 20, 27, 24, 2, 26]",10.0,0.6302134578581899
copula_mvr,half_10_B,10,0.5,B,10,0.6666666666666666,"[21, 0, 23, 20, 27, 24, 2, 26, 16, 25]",10.0,0.6302134578581899
copula_mvr,half_10_B,10,0.5,B,12,0.8461538461538461,"[21, 0, 23, 20, 27, 24, 2, 26, 16, 25, 22, 17]",10.0,0.6302134578581899
copula_mvr,half_10_B,10,0.5,B,14,0.8666666666666667,"[21, 0, 23, 20, 27, 24, 2, 26, 16, 25, 22, 17, 7, 10]",10.0,0.6302134578581899
copula_mvr,half_11_A,11,0.5,A,4,0.6,"[23, 0, 21, 24]",14.0,0.7001111661083996
copula_mvr,half_11_A,11,0.5,A,8,0.7777777777777778,"[23, 0, 21, 24, 27, 2, 17, 20]",14.0,0.7001111661083996
copula_mvr,half_11_A,11,0.5,A,10,1.0,"[23, 0, 21, 24, 27, 2, 17, 20, 16, 22]",14.0,0.7001111661083996
copula_mvr,half_11_A,11,0.5,A,12,0.8461538461538461,"[23, 0, 21, 24, 27, 2, 17, 20, 16, 22, 10, 26]",14.0,0.7001111661083996
copula_mvr,half_11_A,11,0.5,A,14,0.75,"[23, 0, 21, 24, 27, 2, 17, 20, 16, 22, 10, 26, 7, 8]",14.0,0.7001111661083996
copula_mvr,half_11_B,11,0.5,B,4,1.0,"[0, 21, 23, 20]",0.0,0.6914421659894288
copula_mvr,half_11_B,11,0.5,B,8,0.6,"[0, 21, 23, 20, 25, 16, 1, 27]",0.0,0.6914421659894288
copula_mvr,half_11_B,11,0.5,B,10,0.6666666666666666,"[0, 21, 23, 20, 25, 16, 1, 27, 24, 17]",0.0,0.6914421659894288
copula_mvr,half_11_B,11,0.5,B,12,0.6,"[0, 21, 23, 20, 25, 16, 1, 27, 24, 17, 7, 11]",0.0,0.6914421659894288
copula_mvr,half_11_B,11,0.5,B,14,0.6470588235294118,"[0, 21, 23, 20, 25, 16, 1, 27, 24, 17, 7, 11, 28, 26]",0.0,0.6914421659894288
copula_mvr,half_12_A,12,0.5,A,4,0.6,"[23, 0, 24, 21]",10.0,0.7085410000290722
copula_mvr,half_12_A,12,0.5,A,8,0.7777777777777778,"[23, 0, 24, 21, 2, 16, 27, 17]",10.0,0.7085410000290722
copula_mvr,half_12_A,12,0.5,A,10,1.0,"[23, 0, 24, 21, 2, 16, 27, 17, 22, 20]",10.0,0.7085410000290722
copula_mvr,half_12_A,12,0.5,A,12,0.8461538461538461,"[23, 0, 24, 21, 2, 16, 27, 17, 22, 20, 26, 10]",10.0,0.7085410000290722
copula_mvr,half_12_A,12,0.5,A,14,0.75,"[23, 0, 24, 21, 2, 16, 27, 17, 22, 20, 26, 10, 7, 15]",10.0,0.7085410000290722
copula_mvr,half_12_B,12,0.5,B,4,1.0,"[0, 21, 23, 20]",0.0,0.7242300838697702
copula_mvr,half_12_B,12,0.5,B,8,0.7777777777777778,"[0, 21, 23, 20, 24, 27, 8, 16]",0.0,0.7242300838697702
copula_mvr,half_12_B,12,0.5,B,10,0.6666666666666666,"[0, 21, 23, 20, 24, 27, 8, 16, 22, 28]",0.0,0.7242300838697702
copula_mvr,half_12_B,12,0.5,B,12,0.6,"[0, 21, 23, 20, 24, 27, 8, 16, 22, 28, 25, 17]",0.0,0.7242300838697702
copula_mvr,half_12_B,12,0.5,B,14,0.6470588235294118,"[0, 21, 23, 20, 24, 27, 8, 16, 22, 28, 25, 17, 7, 10]",0.0,0.7242300838697702
copula_mvr,half_13_A,13,0.5,A,4,0.6,"[21, 0, 24, 23]",13.0,0.6754372918512672
copula_mvr,half_13_A,13,0.5,A,8,0.7777777777777778,"[21, 0, 24, 23, 27, 16, 17, 20]",13.0,0.6754372918512672
copula_mvr,half_13_A,13,0.5,A,10,0.8181818181818182,"[21, 0, 24, 23, 27, 16, 17, 20, 9, 22]",13.0,0.6754372918512672
