scene,method,rule,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,size_mean,size_sd,size_se,size_ci_low,size_ci_high,size_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n,nonempty_fraction,null_fdr_cp_low,null_fdr_cp_high
linear_sparse,tabm_orbit,native,0.18498286435786432,0.21949616678581438,0.02194961667858144,0.14143006286510532,0.22853566585062332,100,1.0,0.0,0.0,1.0,1.0,100.0,6.86,2.9371187695880923,0.29371187695880924,6.277211914878898,7.442788085121102,100,0.7446553586699534,0.032213947335698205,0.0032213947335698206,0.7382634126321034,0.7510473047078033,100.0,1.0,,
linear_sparse,tabm_orbit,native10,0.02590909090909091,0.11361432293138274,0.011361432293138274,0.0033655443596277805,0.048452637458554035,100,0.05,0.2190429135575903,0.021904291355759033,0.006537133781117824,0.09346286621888218,100.0,0.52,2.2807051895447077,0.22807051895447078,0.06745861015115678,0.9725413898488433,100,,,,,,,0.05,,
linear_sparse,tabm_orbit,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7485129522256555,0.0322858993781446,0.00322858993781446,0.7421067293415737,0.7549191751097373,100.0,1.0,,
linear_sparse,tabm_orbit,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,tabm_orbit_student,native,0.19552873296294349,0.20473074122265267,0.020473074122265268,0.154905712240051,0.23615175368583596,100,0.97,0.1714466079977653,0.01714466079977653,0.935981273413217,1.004018726586783,100.0,6.73,3.0939987528808546,0.30939987528808544,6.116083522658709,7.343916477341292,100,0.7583874629017593,0.08662322554524862,0.008662322554524862,0.741199535649635,0.7755753901538835,100.0,0.97,,
linear_sparse,tabm_orbit_student,native10,0.01666666666666667,0.09549328485449009,0.009549328485449008,-0.0022812727896859876,0.035614606123019324,100,0.03,0.1714466079977653,0.01714466079977653,-0.0040187265867829974,0.064018726586783,100.0,0.34,1.9499805748838221,0.19499805748838223,-0.046918451179712606,0.7269184511797127,100,,,,,,,0.03,,
linear_sparse,tabm_orbit_student,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7485180669258719,0.0320429068636271,0.0032042906863627104,0.7421600590284296,0.7548760748233141,100.0,1.0,,
linear_sparse,tabm_orbit_student,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,tabm_pfi,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7483358447011479,0.0326510558592034,0.00326510558592034,0.7418571668490991,0.7548145225531967,100.0,1.0,,
linear_sparse,tabm_pfi,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,xgb_midpoint,native,0.16318961675579322,0.19574384528541866,0.019574384528541867,0.12434979115891115,0.20202944235267528,100,1.0,0.0,0.0,1.0,1.0,100.0,6.51,2.467956255853835,0.2467956255853835,6.020303936155292,6.999696063844707,100,0.7441805448234925,0.031978132895744624,0.0031978132895744624,0.7378353894865591,0.7505257001604259,100.0,1.0,,
linear_sparse,xgb_midpoint,native10,0.015833333333333335,0.09074374694394986,0.009074374694394986,-0.0021721947596266174,0.03383886142629329,100,0.03,0.1714466079977653,0.01714466079977653,-0.0040187265867829974,0.064018726586783,100.0,0.32,1.8361135943380873,0.18361135943380874,-0.04432477187811701,0.684324771878117,100,,,,,,,0.03,,
