method,scene,rep,rule,theory_regime,nominal_invalid_control,FDP,power,size,false_count,rmse
xgb_shap,global_null,2,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,2,top12,True,False,1.0,,12,12,1.0002105240888661
xgb_pfi,global_null,2,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,2,top12,True,False,1.0,,12,12,0.9823960941016583
tabm_pfi,global_null,2,top8,True,False,1.0,,8,8,
deep_lasso,global_null,2,top12,True,False,1.0,,12,12,0.9938051354657934
deep_lasso,global_null,2,top8,True,False,1.0,,8,8,
xgb_naive,global_null,2,top12,True,True,1.0,,12,12,1.001000488343697
xgb_naive,global_null,2,top8,True,True,1.0,,8,8,
xgb_naive,global_null,2,native,True,True,0.0,,0,0,0.9744416996189028
xgb_naive,global_null,2,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,2,top12,True,False,1.0,,12,12,1.0081441696272273
xgb_midpoint,global_null,2,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
xgb_midpoint,global_null,2,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,2,top12,True,False,1.0,,12,12,1.0056497484070364
xgb_orbit,global_null,2,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
xgb_orbit,global_null,2,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,2,top12,True,False,1.0,,12,12,1.0150614973038066
xgb_orbit_student,global_null,2,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
xgb_orbit_student,global_null,2,native10,True,False,0.0,,0,0,
tabm_naive,global_null,2,top12,True,True,1.0,,12,12,0.9899141503474633
tabm_naive,global_null,2,top8,True,True,1.0,,8,8,
tabm_naive,global_null,2,native,True,True,0.0,,0,0,0.9744416996189028
tabm_naive,global_null,2,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,2,top12,True,False,1.0,,12,12,0.9924371545758913
tabm_midpoint,global_null,2,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
tabm_midpoint,global_null,2,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,2,top12,True,False,1.0,,12,12,0.9964057517421013
tabm_orbit,global_null,2,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
tabm_orbit,global_null,2,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,2,top12,True,False,1.0,,12,12,0.9916656786606314
tabm_orbit_student,global_null,2,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
tabm_orbit_student,global_null,2,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,3,top12,True,False,1.0,,12,12,1.056185588498644
lasso_pair_q20,global_null,3,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
lasso_pair_q20,global_null,3,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,3,top12,True,False,1.0,,12,12,1.0703897848579689
linear_orbit_student,global_null,3,top8,True,False,1.0,,8,8,
