scene,rule,metric,candidate,comparator,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p_within_scene_rule_metric
high_correlation,native,power,tabm_orbit_student,linear_orbit_student,-0.27499999999999997,0.3394514291136108,0.03394514291136108,-0.34235452798610744,-0.2076454720138925,100,1.4556523656083399e-12,4.36695709682502e-12
high_correlation,native,power,tabm_orbit_student,tabm_midpoint,-0.25999999999999995,0.30318178032195786,0.030318178032195785,-0.320157842790341,-0.19984215720965892,100,1.3808117302745967e-13,5.523246921098387e-13
high_correlation,native,power,tabm_orbit_student,tabm_orbit,-0.267,0.3071718500360107,0.030717185003601072,-0.32794955918677354,-0.2060504408132265,100,7.722614175800383e-14,3.8613070879001917e-13
high_correlation,native,power,tabm_orbit_student,xgb_orbit_student,0.214,0.37551849676699206,0.03755184967669921,0.13948898331098758,0.2885110166890124,100,1.2457249617231566e-07,1.3463608663090194e-07
high_correlation,native,power,xgb_orbit_student,lasso_pair_q20,-0.40299999999999997,0.38598032084655315,0.038598032084655315,-0.47958686955724905,-0.3264131304427509,100,1.1965588589738936e-17,8.375912012817256e-17
high_correlation,native,power,xgb_orbit_student,linear_orbit_student,-0.489,0.37142776667689487,0.03714277666768949,-0.5626993270901306,-0.41530067290986933,100,1.760272334171226e-23,1.4082178673369807e-22
high_correlation,native,power,xgb_orbit_student,xgb_orbit,-0.359,0.355077171865213,0.0355077171865213,-0.42945501435087174,-0.2885449856491282,100,6.28133504043624e-17,3.768801024261744e-16
high_correlation,native,rmse,tabm_orbit_student,lasso_pair_q20,0.08871716652444495,0.18691154444449845,0.018691154444449846,0.0516298610325007,0.1258044720163892,100,6.983259159274276e-06,1.3966518318548553e-05
high_correlation,native,rmse,tabm_orbit_student,linear_orbit_student,0.11506106812545508,0.19243691630864396,0.019243691630864396,0.07687740898188818,0.153244727269022,100,3.5658925791913755e-08,1.0697677737574127e-07
high_correlation,native,rmse,tabm_orbit_student,tabm_midpoint,0.1180232190736175,0.19142568803000481,0.01914256880300048,0.08004020955928268,0.15600622858795232,100,1.5313512613223e-08,6.1254050452892e-08
high_correlation,native,rmse,tabm_orbit_student,tabm_orbit,0.1239261750597746,0.19453916716309091,0.01945391671630909,0.08532538373803597,0.16252696638151323,100,5.977830705759574e-09,2.988915352879787e-08
high_correlation,native,rmse,tabm_orbit_student,xgb_orbit_student,-0.0983989693263411,0.21772942442546162,0.021772942442546163,-0.14160121080506405,-0.055196727847618136,100,1.7200044127437433e-05,1.7200044127437433e-05
high_correlation,native,rmse,xgb_orbit_student,lasso_pair_q20,0.18711613585078607,0.221760000541258,0.0221760000541258,0.1431141406267322,0.23111813107483994,100,2.744240829110741e-13,1.9209685803775186e-12
high_correlation,native,rmse,xgb_orbit_student,linear_orbit_student,0.2134600374517962,0.20836646317622404,0.020836646317622404,0.17211561061577885,0.25480446428781356,100,3.206076582986098e-17,2.5648612663888783e-16
high_correlation,native,rmse,xgb_orbit_student,xgb_orbit,0.1805072329468923,0.21704391988735128,0.02170439198873513,0.13744101044065482,0.2235734554531298,100,5.010352758292295e-13,3.006211654975377e-12
high_correlation,native10,FDP,tabm_orbit_student,lasso_pair_q20,-0.026977161727161726,0.14846151150588802,0.014846151150588802,-0.05643514650482016,0.0024808230504967076,100,0.07222481341870714,0.12351265514277275
high_correlation,native10,FDP,tabm_orbit_student,linear_orbit_student,-0.033254676695853164,0.11966593467348652,0.011966593467348652,-0.05699899430557942,-0.009510359086126904,100,0.0065260724347085755,0.019578217304125727
high_correlation,native10,FDP,tabm_orbit_student,tabm_midpoint,-0.0371788081199846,0.09445059284784219,0.00944505928478422,-0.05591985486085792,-0.018437761379111278,100,0.00015390909322618912,0.0007695454661309456
high_correlation,native10,FDP,tabm_orbit_student,tabm_orbit,-0.03559264428382076,0.09323910460130456,0.009323910460130456,-0.05409330547316073,-0.017091983094480786,100,0.00023517460131555661,0.0009406984052622265
high_correlation,native10,FDP,tabm_orbit_student,xgb_orbit_student,0.024854645354645356,0.13154367845450957,0.013154367845450956,-0.0012464743106791777,0.05095576501996989,100,0.061756327571386375,0.12351265514277275
high_correlation,native10,FDP,xgb_orbit_student,lasso_pair_q20,-0.05183180708180707,0.12885644033243984,0.012885644033243984,-0.07739972040367649,-0.026263893759937644,100,0.00011265786872202264,0.0006759472123321358
high_correlation,native10,FDP,xgb_orbit_student,linear_orbit_student,-0.05810932205049851,0.14218717240938625,0.014218717240938625,-0.0863223418286777,-0.029896302272319326,100,8.897904817503761e-05,0.0006228533372252633
high_correlation,native10,FDP,xgb_orbit_student,xgb_orbit,-0.04850096686938791,0.10199939366631983,0.010199939366631983,-0.06873985946501983,-0.02826207427375599,100,6.747132874640575e-06,5.39770629971246e-05
high_correlation,native10,power,tabm_orbit_student,lasso_pair_q20,-0.252,0.4938981206031802,0.04938981206031802,-0.350000102321911,-0.15399989767808903,100,1.621477405758376e-06,3.242954811516752e-06
high_correlation,native10,power,tabm_orbit_student,linear_orbit_student,-0.29700000000000004,0.48439382091163563,0.048439382091163566,-0.3931142430658929,-0.2008857569341072,100,1.789039883183526e-08,5.3671196495505785e-08
high_correlation,native10,power,tabm_orbit_student,tabm_midpoint,-0.34600000000000003,0.4504588009054005,0.04504588009054005,-0.43538079887127706,-0.256619201128723,100,1.1497108974410084e-11,8.047976282087059e-11
high_correlation,native10,power,tabm_orbit_student,tabm_orbit,-0.34800000000000003,0.4533778944230907,0.04533778944230907,-0.4379600103553611,-0.258039989644639,100,1.1801372634081045e-11,8.047976282087059e-11
high_correlation,native10,power,tabm_orbit_student,xgb_orbit_student,0.12100000000000001,0.38383892876091036,0.038383892876091036,0.04483802909036681,0.19716197090963322,100,0.0021435356366729997,0.0021435356366729997
high_correlation,native10,power,xgb_orbit_student,lasso_pair_q20,-0.373,0.48655768808886773,0.04865576880888677,-0.4695436012592806,-0.2764563987407194,100,1.2369424238626498e-11,8.047976282087059e-11
high_correlation,native10,power,xgb_orbit_student,linear_orbit_student,-0.41800000000000004,0.5280763642359374,0.05280763642359374,-0.522781807360802,-0.313218192639198,100,3.639186628702018e-12,2.9113493029616146e-11
high_correlation,native10,power,xgb_orbit_student,xgb_orbit,-0.286,0.42758896528362755,0.042758896528362754,-0.3708429273193831,-0.20115707268061683,100,1.3537213756075697e-09,5.414885502430279e-09
high_correlation,top12,FDP,tabm_orbit_student,lasso_pair_q20,0.05916666666666666,0.08231277432488522,0.008231277432488523,0.04283402645255206,0.07549930688078126,100,1.2573969050851865e-10,3.7721907152555593e-10
high_correlation,top12,FDP,tabm_orbit_student,linear_orbit_student,0.09583333333333334,0.07978559231302818,0.007978559231302817,0.0800021408579662,0.11166452580870048,100,4.851710062647288e-21,3.88136805011783e-20
high_correlation,top12,FDP,tabm_orbit_student,tabm_midpoint,0.0825,0.06956555096477385,0.006956555096477385,0.06869668545346545,0.09630331454653455,100,1.0261734999953369e-20,7.183214499967358e-20
high_correlation,top12,FDP,tabm_orbit_student,tabm_orbit,0.08333333333333334,0.069064617834229,0.0069064617834229,0.06962941478771874,0.09703725187894795,100,3.708384828768564e-21,3.3375463458917075e-20
high_correlation,top12,FDP,tabm_orbit_student,xgb_orbit_student,-0.05500000000000001,0.0999579035973769,0.00999579035973769,-0.07483381667551861,-0.035166183324481404,100,2.944692224633842e-07,5.889384449267684e-07
high_correlation,top12,FDP,tabm_orbit_student,xgb_shap,0.05833333333333333,0.10758287072798382,0.010758287072798382,0.03698655775429005,0.0796801089123766,100,4.165378098863886e-07,5.889384449267684e-07
high_correlation,top12,FDP,xgb_orbit_student,lasso_pair_q20,0.11416666666666668,0.11025872542337198,0.011025872542337199,0.09228894346298708,0.13604438987034628,100,1.8464440118850885e-17,9.232220059425443e-17
