method,fraction,group,run,native_size
xgb_sko_scale,0.5,11,half_11_A,5.0
xgb_sko_quad_scale,0.5,11,half_11_A,12.0
tabm_sko_ridge,0.5,11,half_11_A,0.0
tabm_sko_quad,0.5,11,half_11_A,0.0
tabm_sko_scale,0.5,11,half_11_A,0.0
tabm_sko_quad_scale,0.5,11,half_11_A,5.0
xgb_sko_ridge,0.5,11,half_11_B,0.0
xgb_sko_quad,0.5,11,half_11_B,15.0
xgb_sko_scale,0.5,11,half_11_B,0.0
xgb_sko_quad_scale,0.5,11,half_11_B,10.0
tabm_sko_ridge,0.5,11,half_11_B,6.0
tabm_sko_quad,0.5,11,half_11_B,5.0
tabm_sko_scale,0.5,11,half_11_B,7.0
tabm_sko_quad_scale,0.5,11,half_11_B,6.0
xgb_sko_ridge,0.5,12,half_12_A,0.0
xgb_sko_quad,0.5,12,half_12_A,0.0
xgb_sko_scale,0.5,12,half_12_A,0.0
xgb_sko_quad_scale,0.5,12,half_12_A,0.0
tabm_sko_ridge,0.5,12,half_12_A,0.0
tabm_sko_quad,0.5,12,half_12_A,6.0
tabm_sko_scale,0.5,12,half_12_A,5.0
tabm_sko_quad_scale,0.5,12,half_12_A,5.0
xgb_sko_ridge,0.5,12,half_12_B,0.0
xgb_sko_quad,0.5,12,half_12_B,5.0
xgb_sko_scale,0.5,12,half_12_B,5.0
xgb_sko_quad_scale,0.5,12,half_12_B,12.0
tabm_sko_ridge,0.5,12,half_12_B,0.0
tabm_sko_quad,0.5,12,half_12_B,0.0
tabm_sko_scale,0.5,12,half_12_B,0.0
tabm_sko_quad_scale,0.5,12,half_12_B,0.0
xgb_sko_ridge,0.5,13,half_13_A,0.0
xgb_sko_quad,0.5,13,half_13_A,0.0
xgb_sko_scale,0.5,13,half_13_A,0.0
xgb_sko_quad_scale,0.5,13,half_13_A,0.0
tabm_sko_ridge,0.5,13,half_13_A,0.0
tabm_sko_quad,0.5,13,half_13_A,6.0
tabm_sko_scale,0.5,13,half_13_A,8.0
tabm_sko_quad_scale,0.5,13,half_13_A,8.0
xgb_sko_ridge,0.5,13,half_13_B,0.0
xgb_sko_quad,0.5,13,half_13_B,13.0
xgb_sko_scale,0.5,13,half_13_B,0.0
xgb_sko_quad_scale,0.5,13,half_13_B,11.0
tabm_sko_ridge,0.5,13,half_13_B,5.0
tabm_sko_quad,0.5,13,half_13_B,5.0
tabm_sko_scale,0.5,13,half_13_B,5.0
tabm_sko_quad_scale,0.5,13,half_13_B,5.0
xgb_sko_ridge,0.5,14,half_14_A,0.0
xgb_sko_quad,0.5,14,half_14_A,0.0
xgb_sko_scale,0.5,14,half_14_A,0.0
xgb_sko_quad_scale,0.5,14,half_14_A,15.0
tabm_sko_ridge,0.5,14,half_14_A,0.0
tabm_sko_quad,0.5,14,half_14_A,0.0
tabm_sko_scale,0.5,14,half_14_A,0.0
tabm_sko_quad_scale,0.5,14,half_14_A,0.0
xgb_sko_ridge,0.5,14,half_14_B,0.0
xgb_sko_quad,0.5,14,half_14_B,0.0
xgb_sko_scale,0.5,14,half_14_B,0.0
xgb_sko_quad_scale,0.5,14,half_14_B,0.0
tabm_sko_ridge,0.5,14,half_14_B,0.0
tabm_sko_quad,0.5,14,half_14_B,0.0
tabm_sko_scale,0.5,14,half_14_B,0.0
tabm_sko_quad_scale,0.5,14,half_14_B,0.0
xgb_sko_ridge,0.5,15,half_15_A,0.0
xgb_sko_quad,0.5,15,half_15_A,0.0
xgb_sko_scale,0.5,15,half_15_A,5.0
xgb_sko_quad_scale,0.5,15,half_15_A,0.0
tabm_sko_ridge,0.5,15,half_15_A,0.0
tabm_sko_quad,0.5,15,half_15_A,0.0
tabm_sko_scale,0.5,15,half_15_A,5.0
tabm_sko_quad_scale,0.5,15,half_15_A,0.0
xgb_sko_ridge,0.5,15,half_15_B,17.0
xgb_sko_quad,0.5,15,half_15_B,12.0
xgb_sko_scale,0.5,15,half_15_B,25.0
xgb_sko_quad_scale,0.5,15,half_15_B,15.0
tabm_sko_ridge,0.5,15,half_15_B,12.0
tabm_sko_quad,0.5,15,half_15_B,10.0
tabm_sko_scale,0.5,15,half_15_B,5.0
tabm_sko_quad_scale,0.5,15,half_15_B,9.0
xgb_sko_ridge,0.5,16,half_16_A,7.0
xgb_sko_quad,0.5,16,half_16_A,0.0
xgb_sko_scale,0.5,16,half_16_A,6.0
xgb_sko_quad_scale,0.5,16,half_16_A,0.0
tabm_sko_ridge,0.5,16,half_16_A,0.0
tabm_sko_quad,0.5,16,half_16_A,0.0
tabm_sko_scale,0.5,16,half_16_A,0.0
tabm_sko_quad_scale,0.5,16,half_16_A,0.0
xgb_sko_ridge,0.5,16,half_16_B,5.0
xgb_sko_quad,0.5,16,half_16_B,7.0
