method,scene,rep,rule,FDP,power,size,false_count,rmse,theory_regime,nominal_invalid_control
xgb_sko_quad,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.9003604920787368,,
xgb_sko_quad,high_correlation,93,top8,0.0,0.8,8,0,,,
xgb_sko_quad,high_correlation,93,native,0.0,1.0,10,0,0.8943698469808394,,
xgb_sko_quad,high_correlation,93,native10,0.0,1.0,10,0,,,
xgb_sko_scale,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8931348445581885,,
xgb_sko_scale,high_correlation,93,top8,0.0,0.8,8,0,,,
xgb_sko_scale,high_correlation,93,native,0.0,1.0,10,0,0.8943698469808394,,
xgb_sko_scale,high_correlation,93,native10,0.0,1.0,10,0,,,
xgb_sko_quad_scale,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8959184626185662,,
xgb_sko_quad_scale,high_correlation,93,top8,0.0,0.8,8,0,,,
xgb_sko_quad_scale,high_correlation,93,native,0.16666666666666666,1.0,12,2,0.8959184626185662,,
xgb_sko_quad_scale,high_correlation,93,native10,0.09090909090909091,1.0,11,1,,,
tabm_sko_ridge,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8959184626185662,,
tabm_sko_ridge,high_correlation,93,top8,0.0,0.8,8,0,,,
tabm_sko_ridge,high_correlation,93,native,0.16666666666666666,1.0,12,2,0.8959184626185662,,
tabm_sko_ridge,high_correlation,93,native10,0.0,1.0,10,0,,,
tabm_sko_quad,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8918348073198141,,
tabm_sko_quad,high_correlation,93,top8,0.0,0.8,8,0,,,
tabm_sko_quad,high_correlation,93,native,0.09090909090909091,1.0,11,1,0.9013646644761927,,
tabm_sko_quad,high_correlation,93,native10,0.0,1.0,10,0,,,
tabm_sko_scale,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8918348073198141,,
tabm_sko_scale,high_correlation,93,top8,0.0,0.8,8,0,,,
tabm_sko_scale,high_correlation,93,native,0.23076923076923078,1.0,13,3,0.9002939000382856,,
tabm_sko_scale,high_correlation,93,native10,0.09090909090909091,1.0,11,1,,,
tabm_sko_quad_scale,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8918348073198141,,
tabm_sko_quad_scale,high_correlation,93,top8,0.0,0.8,8,0,,,
tabm_sko_quad_scale,high_correlation,93,native,0.23076923076923078,1.0,13,3,0.9001042585424196,,
tabm_sko_quad_scale,high_correlation,93,native10,0.0,1.0,10,0,,,
xgb_sko_ridge,nonlinear_weak,15,top12,0.5833333333333334,0.5,12,7,1.5704398724928488,,
xgb_sko_ridge,nonlinear_weak,15,top8,0.5,0.4,8,4,,,
xgb_sko_ridge,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
xgb_sko_ridge,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
xgb_sko_quad,nonlinear_weak,15,top12,0.5,0.6,12,6,1.5860336489810438,,
xgb_sko_quad,nonlinear_weak,15,top8,0.375,0.5,8,3,,,
xgb_sko_quad,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
xgb_sko_quad,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
xgb_sko_scale,nonlinear_weak,15,top12,0.5,0.6,12,6,1.6205010432162217,,
xgb_sko_scale,nonlinear_weak,15,top8,0.375,0.5,8,3,,,
xgb_sko_scale,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
xgb_sko_scale,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,nonlinear_weak,15,top12,0.5,0.6,12,6,1.5503097018304297,,
xgb_sko_quad_scale,nonlinear_weak,15,top8,0.25,0.6,8,2,,,
xgb_sko_quad_scale,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
xgb_sko_quad_scale,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
tabm_sko_ridge,nonlinear_weak,15,top12,0.5,0.6,12,6,1.6243927010968793,,
tabm_sko_ridge,nonlinear_weak,15,top8,0.375,0.5,8,3,,,
tabm_sko_ridge,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
tabm_sko_ridge,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
tabm_sko_quad,nonlinear_weak,15,top12,0.4166666666666667,0.7,12,5,1.5769239438812432,,
tabm_sko_quad,nonlinear_weak,15,top8,0.25,0.6,8,2,,,
tabm_sko_quad,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
