scene,rule,metric,candidate,comparator,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p
high_correlation,top8,FDP,tabm_sko_quad_scale,tabm_orbit_student,-0.105,0.11612428034157407,0.011612428034157407,-0.12804157655354978,-0.08195842344645021,100,1.3421783246691978e-14,1.207960492202278e-13
high_correlation,top8,FDP,tabm_sko_quad_scale,xgb_shap,-0.03625,0.1155452051988504,0.01155452051988504,-0.05917667548211081,-0.013323324517889184,100,0.0022461415538358354,0.017969132430686683
high_correlation,top8,power,xgb_sko_quad_scale,xgb_sko_ridge,-0.006,0.086246065640027,0.0086246065640027,-0.02311309054438721,0.011113090544387213,100,0.48825669000379623,1.0
high_correlation,top8,power,xgb_sko_quad_scale,xgb_sko_quad,2.220446049250313e-18,0.06666666666666668,0.006666666666666668,-0.013228113010057885,0.013228113010057888,100,0.9999999999999998,1.0
high_correlation,top8,power,xgb_sko_quad_scale,xgb_sko_scale,-0.015,0.07436600722307898,0.007436600722307898,-0.029755829214805046,-0.00024417078519495435,100,0.04639767666679682,0.2783860600007809
high_correlation,top8,power,tabm_sko_quad_scale,tabm_sko_ridge,1.1102230246251566e-18,0.04494665749754949,0.004494665749754949,-0.008918391972029252,0.008918391972029255,100,0.9999999999999998,1.0
high_correlation,top8,power,tabm_sko_quad_scale,tabm_sko_quad,-0.004,0.037389568036817415,0.0037389568036817417,-0.011418901470824035,0.0034189014708240336,100,0.2873030564781471,1.0
high_correlation,top8,power,tabm_sko_quad_scale,tabm_sko_scale,-0.0019999999999999996,0.042592738983791775,0.0042592738983791775,-0.010451323470282435,0.006451323470282435,100,0.6396994233271649,1.0
high_correlation,top8,power,tabm_sko_quad_scale,tabm_orbit,-0.017000000000000008,0.0652191333393457,0.00652191333393457,-0.02994089099346349,-0.0040591090065365265,100,0.010556867303158338,0.07389807112210836
high_correlation,top8,power,tabm_sko_quad_scale,tabm_orbit_student,0.08400000000000002,0.09289942427325927,0.009289942427325927,0.0655667387571602,0.10243326124283984,100,1.3421783246691978e-14,1.207960492202278e-13
high_correlation,top8,power,tabm_sko_quad_scale,xgb_shap,0.029000000000000022,0.09243616415908033,0.009243616415908033,0.01065865961431137,0.04734134038568867,100,0.0022461415538358237,0.01796913243068659
linear_sparse,native,FDP,xgb_sko_quad_scale,xgb_sko_ridge,-0.01046266233766234,0.19238033812817038,0.019238033812817038,-0.04863509514275112,0.02770977046742644,100,0.5877653258177149,1.0
linear_sparse,native,FDP,xgb_sko_quad_scale,xgb_sko_quad,0.011893037518037514,0.16158599352011216,0.016158599352011215,-0.02016912922886035,0.04395520426493538,100,0.46345943859869243,1.0
linear_sparse,native,FDP,xgb_sko_quad_scale,xgb_sko_scale,-0.0322718253968254,0.18534418707324288,0.018534418707324286,-0.0690481331822579,0.004504482388607095,100,0.08475790751277992,0.6780632601022394
linear_sparse,native,FDP,tabm_sko_quad_scale,tabm_sko_ridge,0.0191092621146969,0.1619575921233421,0.01619575921233421,-0.013026637856969552,0.05124516208636335,100,0.24087022822838183,1.0
linear_sparse,native,FDP,tabm_sko_quad_scale,tabm_sko_quad,0.015980053646866138,0.141280395554566,0.014128039555456601,-0.012053041930656042,0.044013149224388315,100,0.26075070769694314,1.0
linear_sparse,native,FDP,tabm_sko_quad_scale,tabm_sko_scale,0.020378756509191298,0.17043486007946385,0.017043486007946383,-0.013439217340576966,0.05419673035895956,100,0.23467298883636317,1.0
linear_sparse,native,FDP,tabm_sko_quad_scale,tabm_orbit,0.014012602238625261,0.2883290152847485,0.028832901528474852,-0.043198129735355154,0.07122333421260567,100,0.6280457665972989,1.0
linear_sparse,native,FDP,tabm_sko_quad_scale,tabm_orbit_student,0.0034667336335461375,0.26895738988260864,0.026895738988260864,-0.049900247590314056,0.056833714857406334,100,0.89770201468237,1.0
linear_sparse,native,power,xgb_sko_quad_scale,xgb_sko_ridge,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
linear_sparse,native,power,xgb_sko_quad_scale,xgb_sko_quad,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
linear_sparse,native,power,xgb_sko_quad_scale,xgb_sko_scale,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
linear_sparse,native,power,tabm_sko_quad_scale,tabm_sko_ridge,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
linear_sparse,native,power,tabm_sko_quad_scale,tabm_sko_quad,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
linear_sparse,native,power,tabm_sko_quad_scale,tabm_sko_scale,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
linear_sparse,native,power,tabm_sko_quad_scale,tabm_orbit,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
