method,run,group,fraction,half,J,set
tabm_orbit,half_02_B,2,0.5,B,0.4117647058823529,"[0, 23, 20, 18, 21, 19, 12, 22, 7, 17, 5, 28]"
tabm_orbit_student,half_02_B,2,0.5,B,0.4117647058823529,"[0, 20, 12, 23, 22, 14, 18, 21, 28, 17, 19, 5]"
lasso_pair_q20,half_03_A,3,0.5,A,0.4117647058823529,"[0, 16, 7, 6, 3, 2, 22, 15, 26, 1, 5, 10]"
linear_orbit_student,half_03_A,3,0.5,A,0.4117647058823529,"[22, 21, 2, 0, 7, 15, 9, 4, 1, 3, 5, 6]"
xgb_shap,half_03_A,3,0.5,A,0.7142857142857143,"[23, 0, 21, 24, 16, 19, 15, 20, 18, 7, 25, 17]"
xgb_pfi,half_03_A,3,0.5,A,0.7142857142857143,"[23, 0, 21, 16, 19, 24, 15, 20, 2, 18, 9, 28]"
tabm_pfi,half_03_A,3,0.5,A,0.8461538461538461,"[23, 0, 16, 15, 19, 21, 20, 24, 27, 2, 25, 22]"
deep_lasso,half_03_A,3,0.5,A,0.8461538461538461,"[23, 0, 21, 20, 16, 24, 25, 19, 27, 15, 18, 2]"
xgb_naive,half_03_A,3,0.5,A,0.3333333333333333,"[17, 16, 15, 9, 7, 5, 24, 21, 12, 13, 3, 25]"
xgb_midpoint,half_03_A,3,0.5,A,0.3333333333333333,"[17, 16, 15, 7, 9, 5, 24, 13, 21, 3, 12, 25]"
xgb_orbit,half_03_A,3,0.5,A,0.2631578947368421,"[17, 16, 15, 7, 9, 5, 13, 24, 12, 3, 11, 21]"
xgb_orbit_student,half_03_A,3,0.5,A,0.14285714285714285,"[17, 9, 15, 5, 13, 11, 12, 7, 16, 24, 3, 14]"
tabm_naive,half_03_A,3,0.5,A,0.2,"[21, 2, 18, 17, 7, 16, 20, 0, 11, 13, 9, 14]"
tabm_midpoint,half_03_A,3,0.5,A,0.2,"[21, 18, 2, 17, 7, 16, 20, 9, 11, 13, 14, 25]"
tabm_orbit,half_03_A,3,0.5,A,0.2,"[21, 18, 2, 17, 7, 16, 20, 9, 11, 13, 14, 25]"
tabm_orbit_student,half_03_A,3,0.5,A,0.2,"[2, 21, 17, 18, 14, 7, 11, 13, 9, 16, 25, 20]"
lasso_pair_q20,half_03_B,3,0.5,B,0.2631578947368421,"[0, 25, 16, 26, 2, 23, 27, 8, 1, 4, 7, 11]"
linear_orbit_student,half_03_B,3,0.5,B,0.4117647058823529,"[25, 22, 11, 26, 17, 2, 10, 0, 21, 1, 4, 5]"
xgb_shap,half_03_B,3,0.5,B,0.8461538461538461,"[21, 23, 0, 16, 19, 24, 15, 25, 18, 20, 2, 7]"
xgb_pfi,half_03_B,3,0.5,B,0.8461538461538461,"[21, 0, 23, 16, 19, 20, 18, 2, 24, 25, 15, 1]"
tabm_pfi,half_03_B,3,0.5,B,0.8461538461538461,"[23, 0, 21, 15, 16, 19, 20, 2, 24, 25, 18, 8]"
deep_lasso,half_03_B,3,0.5,B,0.8461538461538461,"[23, 21, 0, 25, 20, 15, 19, 16, 27, 24, 9, 18]"
xgb_naive,half_03_B,3,0.5,B,0.4117647058823529,"[19, 18, 0, 23, 21, 25, 12, 7, 4, 3, 9, 5]"
xgb_midpoint,half_03_B,3,0.5,B,0.4117647058823529,"[18, 19, 0, 23, 25, 21, 3, 4, 12, 7, 9, 24]"
xgb_orbit,half_03_B,3,0.5,B,0.4117647058823529,"[19, 18, 0, 23, 21, 7, 3, 25, 4, 12, 9, 17]"
xgb_orbit_student,half_03_B,3,0.5,B,0.4117647058823529,"[25, 12, 19, 18, 10, 26, 23, 24, 3, 9, 0, 5]"
tabm_naive,half_03_B,3,0.5,B,0.5,"[0, 23, 25, 5, 13, 19, 1, 26, 4, 28, 22, 12]"
tabm_midpoint,half_03_B,3,0.5,B,0.5,"[0, 23, 25, 19, 5, 13, 1, 4, 26, 28, 22, 12]"
tabm_orbit,half_03_B,3,0.5,B,0.5,"[0, 23, 25, 19, 5, 13, 1, 26, 4, 28, 22, 2]"
tabm_orbit_student,half_03_B,3,0.5,B,0.5,"[13, 0, 25, 5, 26, 22, 1, 23, 28, 4, 19, 12]"
lasso_pair_q20,half_04_A,4,0.5,A,0.5,"[0, 25, 6, 22, 15, 5, 23, 14, 1, 7, 9, 10]"
linear_orbit_student,half_04_A,4,0.5,A,0.3333333333333333,"[7, 21, 9, 25, 0, 19, 23, 20, 2, 28, 15, 1]"
xgb_shap,half_04_A,4,0.5,A,0.8461538461538461,"[21, 0, 24, 16, 23, 19, 25, 15, 20, 1, 18, 7]"
xgb_pfi,half_04_A,4,0.5,A,0.7142857142857143,"[21, 16, 0, 23, 19, 18, 24, 20, 15, 2, 25, 17]"
