method,run,group,fraction,half,J,set
tabm_orbit_student,half_04_B,4,0.5,B,0.5,"[0, 16, 15, 3, 20, 19, 12, 25, 24, 21, 18, 27]"
lasso_pair_q20,half_05_A,5,0.5,A,0.3333333333333333,"[0, 23, 26, 16, 15, 28, 19, 8, 12, 14, 7, 17]"
linear_orbit_student,half_05_A,5,0.5,A,0.7142857142857143,"[0, 23, 16, 27, 8, 26, 22, 28, 7, 25, 20, 2]"
xgb_shap,half_05_A,5,0.5,A,0.8461538461538461,"[23, 0, 21, 24, 16, 19, 15, 18, 20, 2, 1, 17]"
xgb_pfi,half_05_A,5,0.5,A,0.8461538461538461,"[23, 0, 21, 19, 16, 24, 15, 20, 2, 18, 1, 8]"
tabm_pfi,half_05_A,5,0.5,A,0.6,"[0, 23, 15, 16, 19, 21, 2, 20, 17, 1, 8, 18]"
deep_lasso,half_05_A,5,0.5,A,0.7142857142857143,"[23, 21, 16, 0, 25, 20, 19, 15, 27, 9, 24, 2]"
xgb_naive,half_05_A,5,0.5,A,0.5,"[16, 19, 0, 18, 15, 27, 23, 8, 12, 17, 20, 10]"
xgb_midpoint,half_05_A,5,0.5,A,0.5,"[16, 19, 0, 15, 27, 17, 23, 8, 12, 10, 20, 11]"
xgb_orbit,half_05_A,5,0.5,A,0.4117647058823529,"[16, 19, 0, 15, 27, 17, 8, 23, 12, 10, 20, 6]"
xgb_orbit_student,half_05_A,5,0.5,A,0.3333333333333333,"[16, 0, 19, 15, 23, 27, 10, 12, 8, 17, 20, 6]"
tabm_naive,half_05_A,5,0.5,A,0.5,"[16, 19, 15, 0, 27, 18, 20, 2, 8, 23, 25, 13]"
tabm_midpoint,half_05_A,5,0.5,A,0.3333333333333333,"[16, 0, 19, 15, 18, 27, 23, 26, 5, 2, 8, 20]"
tabm_orbit,half_05_A,5,0.5,A,0.4117647058823529,"[16, 0, 19, 15, 18, 27, 23, 2, 8, 26, 5, 20]"
tabm_orbit_student,half_05_A,5,0.5,A,0.2631578947368421,"[16, 0, 19, 15, 23, 18, 12, 27, 8, 13, 5, 26]"
lasso_pair_q20,half_05_B,5,0.5,B,0.6,"[20, 0, 25, 27, 16, 2, 26, 6, 22, 9, 12, 1]"
linear_orbit_student,half_05_B,5,0.5,B,0.6,"[0, 26, 2, 20, 25, 27, 22, 16, 17, 7, 4, 8]"
xgb_shap,half_05_B,5,0.5,B,0.7142857142857143,"[21, 23, 0, 16, 19, 15, 24, 25, 18, 1, 20, 27]"
xgb_pfi,half_05_B,5,0.5,B,0.7142857142857143,"[21, 23, 0, 16, 19, 20, 18, 24, 15, 25, 28, 27]"
tabm_pfi,half_05_B,5,0.5,B,0.7142857142857143,"[23, 0, 21, 20, 16, 15, 19, 24, 27, 2, 25, 26]"
deep_lasso,half_05_B,5,0.5,B,1.0,"[23, 0, 21, 20, 25, 19, 15, 16, 24, 27, 18, 7]"
xgb_naive,half_05_B,5,0.5,B,0.3333333333333333,"[0, 16, 19, 18, 15, 4, 2, 22, 6, 27, 26, 24]"
xgb_midpoint,half_05_B,5,0.5,B,0.2631578947368421,"[19, 16, 15, 0, 4, 28, 7, 18, 22, 24, 26, 2]"
xgb_orbit,half_05_B,5,0.5,B,0.4117647058823529,"[16, 19, 0, 15, 18, 4, 7, 22, 28, 2, 24, 26]"
xgb_orbit_student,half_05_B,5,0.5,B,0.4117647058823529,"[19, 0, 16, 15, 4, 11, 18, 24, 2, 22, 26, 7]"
tabm_naive,half_05_B,5,0.5,B,0.5,"[0, 16, 19, 15, 18, 20, 24, 27, 26, 2, 5, 3]"
