method,run,fraction,size,empty
tabm_orbit_student,half_11_B,0.5,0,True
lasso_pair_q20,half_12_A,0.5,0,True
linear_orbit_student,half_12_A,0.5,11,False
xgb_naive,half_12_A,0.5,0,True
xgb_midpoint,half_12_A,0.5,0,True
xgb_orbit,half_12_A,0.5,0,True
xgb_orbit_student,half_12_A,0.5,0,True
tabm_naive,half_12_A,0.5,0,True
tabm_midpoint,half_12_A,0.5,0,True
tabm_orbit,half_12_A,0.5,0,True
tabm_orbit_student,half_12_A,0.5,0,True
lasso_pair_q20,half_12_B,0.5,0,True
linear_orbit_student,half_12_B,0.5,0,True
xgb_naive,half_12_B,0.5,0,True
xgb_midpoint,half_12_B,0.5,0,True
xgb_orbit,half_12_B,0.5,0,True
xgb_orbit_student,half_12_B,0.5,0,True
tabm_naive,half_12_B,0.5,0,True
tabm_midpoint,half_12_B,0.5,0,True
tabm_orbit,half_12_B,0.5,0,True
tabm_orbit_student,half_12_B,0.5,0,True
lasso_pair_q20,half_13_A,0.5,0,True
linear_orbit_student,half_13_A,0.5,0,True
xgb_naive,half_13_A,0.5,6,False
xgb_midpoint,half_13_A,0.5,6,False
xgb_orbit,half_13_A,0.5,7,False
xgb_orbit_student,half_13_A,0.5,0,True
tabm_naive,half_13_A,0.5,0,True
tabm_midpoint,half_13_A,0.5,0,True
tabm_orbit,half_13_A,0.5,0,True
tabm_orbit_student,half_13_A,0.5,0,True
lasso_pair_q20,half_13_B,0.5,0,True
linear_orbit_student,half_13_B,0.5,0,True
xgb_naive,half_13_B,0.5,0,True
xgb_midpoint,half_13_B,0.5,0,True
xgb_orbit,half_13_B,0.5,0,True
xgb_orbit_student,half_13_B,0.5,0,True
tabm_naive,half_13_B,0.5,0,True
tabm_midpoint,half_13_B,0.5,0,True
tabm_orbit,half_13_B,0.5,0,True
tabm_orbit_student,half_13_B,0.5,0,True
lasso_pair_q20,half_14_A,0.5,0,True
linear_orbit_student,half_14_A,0.5,0,True
xgb_naive,half_14_A,0.5,6,False
xgb_midpoint,half_14_A,0.5,5,False
xgb_orbit,half_14_A,0.5,6,False
xgb_orbit_student,half_14_A,0.5,6,False
tabm_naive,half_14_A,0.5,7,False
tabm_midpoint,half_14_A,0.5,7,False
tabm_orbit,half_14_A,0.5,7,False
tabm_orbit_student,half_14_A,0.5,0,True
lasso_pair_q20,half_14_B,0.5,0,True
linear_orbit_student,half_14_B,0.5,5,False
xgb_naive,half_14_B,0.5,0,True
xgb_midpoint,half_14_B,0.5,0,True
xgb_orbit,half_14_B,0.5,0,True
xgb_orbit_student,half_14_B,0.5,0,True
tabm_naive,half_14_B,0.5,0,True
tabm_midpoint,half_14_B,0.5,5,False
tabm_orbit,half_14_B,0.5,5,False
tabm_orbit_student,half_14_B,0.5,0,True
lasso_pair_q20,half_15_A,0.5,0,True
linear_orbit_student,half_15_A,0.5,0,True
xgb_naive,half_15_A,0.5,0,True
xgb_midpoint,half_15_A,0.5,0,True
xgb_orbit,half_15_A,0.5,0,True
xgb_orbit_student,half_15_A,0.5,0,True
tabm_naive,half_15_A,0.5,0,True
tabm_midpoint,half_15_A,0.5,0,True
tabm_orbit,half_15_A,0.5,0,True
tabm_orbit_student,half_15_A,0.5,0,True
lasso_pair_q20,half_15_B,0.5,0,True
linear_orbit_student,half_15_B,0.5,0,True
xgb_naive,half_15_B,0.5,0,True
xgb_midpoint,half_15_B,0.5,0,True
xgb_orbit,half_15_B,0.5,0,True
xgb_orbit_student,half_15_B,0.5,0,True
tabm_naive,half_15_B,0.5,0,True
tabm_midpoint,half_15_B,0.5,0,True
tabm_orbit,half_15_B,0.5,0,True
tabm_orbit_student,half_15_B,0.5,0,True
lasso_pair_q20,half_16_A,0.5,0,True
linear_orbit_student,half_16_A,0.5,0,True
xgb_naive,half_16_A,0.5,0,True
xgb_midpoint,half_16_A,0.5,0,True
xgb_orbit,half_16_A,0.5,0,True
xgb_orbit_student,half_16_A,0.5,6,False
tabm_naive,half_16_A,0.5,5,False
tabm_midpoint,half_16_A,0.5,5,False
tabm_orbit,half_16_A,0.5,5,False
tabm_orbit_student,half_16_A,0.5,0,True
lasso_pair_q20,half_16_B,0.5,8,False
linear_orbit_student,half_16_B,0.5,0,True
xgb_naive,half_16_B,0.5,7,False
