method,scenario,rule,repetitions,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,power_mean,power_sd,power_se,power_ci_low,power_ci_high,discoveries_mean,discoveries_sd,discoveries_se,discoveries_ci_low,discoveries_ci_high,FDP_gt_0.2_mean,FDP_gt_0.2_sd,FDP_gt_0.2_se,FDP_gt_0.2_ci_low,FDP_gt_0.2_ci_high,rmse_at_12_mean,rmse_at_12_sd,rmse_at_12_se,rmse_at_12_ci_low,rmse_at_12_ci_high
copula_mvr,nonlinear_panel,top10,100,0.43799999999999994,0.1212560526449311,0.012125605264493109,0.4139401684868898,0.4620598315131101,0.562,0.1212560526449311,0.012125605264493109,0.5379401684868899,0.5860598315131103,10.0,0.0,0.0,10.0,10.0,0.96,0.1969463855669324,0.01969463855669324,0.9209215643219727,0.9990784356780272,1.213599238950033,0.10345013049175313,0.010345013049175313,1.1930724886942807,1.2341259892057852
copula_mvr,nonlinear_panel,top12,100,0.4816666666666667,0.1043256362733455,0.01043256362733455,0.46096619706961656,0.5023671362637168,0.622,0.12519076352801461,0.012519076352801462,0.5971594364835399,0.6468405635164601,12.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,1.0,1.0,1.213599238950033,0.10345013049175313,0.010345013049175313,1.1930724886942807,1.2341259892057852
copula_mvr,nonlinear_panel,top14,100,0.5207142857142858,0.08867830911051278,0.008867830911051278,0.5031185852974651,0.5383099861311065,0.6709999999999999,0.12414963275471788,0.012414963275471789,0.646366019416451,0.6956339805835489,14.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,1.0,1.0,1.213599238950033,0.10345013049175313,0.010345013049175313,1.1930724886942807,1.2341259892057852
copula_mvr,nonlinear_panel,top4,100,0.1825,0.21277092058470923,0.021277092058470923,0.14028163325877122,0.22471836674122878,0.3269999999999999,0.08510836823388371,0.00851083682338837,0.3101126533035084,0.3438873466964914,4.0,0.0,0.0,4.0,4.0,0.5,0.502518907629606,0.050251890762960605,0.400289346502771,0.599710653497229,1.213599238950033,0.10345013049175313,0.010345013049175313,1.1930724886942807,1.2341259892057852
copula_mvr,nonlinear_panel,top8,100,0.38375,0.15206387380693587,0.015206387380693586,0.35357722838802,0.41392277161197993,0.49300000000000005,0.12165109904554867,0.012165109904554867,0.4688617827104161,0.517138217289584,8.0,0.0,0.0,8.0,8.0,0.9,0.30151134457776363,0.03015113445777636,0.8401736079016626,0.9598263920983374,1.213599238950033,0.10345013049175313,0.010345013049175313,1.1930724886942807,1.2341259892057852
deep_lasso,linear_dense,top10,100,0.001,0.009999999999999995,0.0009999999999999996,-0.0009842169515086817,0.0029842169515086818,0.6660000000000003,0.006666666666666669,0.0006666666666666669,0.6646771886989945,0.667322811301006,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.09410313360286,0.04514750814476352,0.0045147508144763515,1.0851448885049384,1.1030613787007815
deep_lasso,linear_dense,top12,100,0.008333333333333333,0.0251259453814803,0.00251259453814803,0.0033478006584718827,0.013318866008194784,0.7933333333333331,0.02010075630518427,0.002010075630518427,0.789344907193444,0.7973217594732223,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.09410313360286,0.04514750814476352,0.0045147508144763515,1.0851448885049384,1.1030613787007815
deep_lasso,linear_dense,top14,100,0.02714285714285714,0.046279870651728415,0.004627987065172841,0.017959926756778266,0.03632578752893601,0.9080000000000004,0.043194545941613184,0.004319454594161319,0.8994292649729935,0.9165707350270073,14.0,0.0,0.0,14.0,14.0,0.01,0.09999999999999999,0.009999999999999998,-0.009842169515086823,0.029842169515086822,1.09410313360286,0.04514750814476352,0.0045147508144763515,1.0851448885049384,1.1030613787007815
deep_lasso,linear_dense,top4,100,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,5.579080615598709e-17,5.579080615598709e-18,0.2666666666666666,0.2666666666666666,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.09410313360286,0.04514750814476352,0.0045147508144763515,1.0851448885049384,1.1030613787007815
deep_lasso,linear_dense,top8,100,0.0,0.0,0.0,0.0,0.0,0.5333333333333332,1.1158161231197418e-16,1.1158161231197418e-17,0.5333333333333332,0.5333333333333332,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.09410313360286,0.04514750814476352,0.0045147508144763515,1.0851448885049384,1.1030613787007815
